,name,mana_cost,cmc,oracle_text,power,toughness,prices,set
2581,Wall of Runes,{U},1.0,Defender (This creature can't attack.) When This Card enters the battlefield  scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),0,4,0.08,m21
2582,Ayesha Tanaka,{W}{W}{U}{U},4.0,Banding (Any creatures with banding  and up to one without  can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature  you divide that creature's combat damage  not its controller  among any of the creatures it's being blocked by or is blocking.) {T}: Counter target activated ability from an artifact source unless that ability's controller pays {W}. (Mana abilities can't be targeted.),2,2,0.21,chr
2583,Murmuring Phantasm,{1}{U},2.0,Defender,0,5,0.13,jmp
2584,"Iroas, God of Victory",{2}{R}{W},4.0,Indestructible As long as your devotion to red and white is less than seven  Iroas isn't a creature. Creatures you control have menace. Prevent all damage that would be dealt to attacking creatures you control.,7,4,14.61,c16
2585,Teferi's Drake,{2}{U},3.0,Flying Phasing (This phases in or out before you untap during each of your untap steps. While it's phased out  it's treated as though it doesn't exist.),3,2,0.10,mir
2586,Noxious Hatchling,{3}{B/G},4.0,This Card enters the battlefield with four -1/-1 counters on it. Wither (This deals damage to creatures in the form of -1/-1 counters.) Whenever you cast a black spell  remove a -1/-1 counter from This Card. Whenever you cast a green spell  remove a -1/-1 counter from This Card.,6,6,0.32,eve
2587,Towering Baloth,{6}{G}{G},8.0,Morph {6}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),7,6,0.17,ons
2588,Storm Fleet Arsonist,{4}{R},5.0,Raid — When This Card enters the battlefield  if you attacked this turn  target opponent sacrifices a permanent.,4,4,0.09,xln
2589,Rot Hulk,{5}{B}{B},7.0,Menace When This Card enters the battlefield  return up to X target Zombie cards from your graveyard to the battlefield  where X is the number of opponents you have.,5,5,30.35,gnt
2590,Orzhov Pontiff,{1}{W}{B},3.0,Haunt (When this creature dies  exile it haunting target creature.) When This Card enters the battlefield or the creature it haunts dies  choose one — • Creatures you control get +1/+1 until end of turn. • Creatures you don't control get -1/-1 until end of turn.,1,1,0.07,2x2
2591,Elder Spawn,{4}{U}{U}{U},7.0,At the beginning of your upkeep  unless you sacrifice an Island  sacrifice This Card and it deals 6 damage to you. This Card can't be blocked by red creatures.,6,6,26.56,leg
2592,Bull Cerodon,{4}{R}{W},6.0,Vigilance  haste,5,5,0.10,hop
2593,Treefolk Warrior,_,0.0,This creature's power and toughness are each equal to the number of Forests you control.,*,*,0.33,tm15
2594,Hag Hedge-Mage,{2}{B/G},3.0,When This Card enters the battlefield  if you control two or more Swamps  you may have target player discard a card. When This Card enters the battlefield  if you control two or more Forests  you may put target card from your graveyard on top of your library.,2,2,0.11,eve
2595,Calcite Snapper,{1}{U}{U},3.0,Shroud (This creature can't be the target of spells or abilities.) Landfall — Whenever a land enters the battlefield under your control  you may switch This Card's power and toughness until end of turn.,1,4,0.10,wwk
2596,Dark Hatchling,{4}{B}{B},6.0,Flying When This Card enters the battlefield  destroy target nonblack creature. It can't be regenerated.,3,3,0.06,clb
2597,Tymora's Invoker,{1}{U},2.0,Sleight of Hand — {8}: Draw two cards.,1,3,0.03,clb
2598,Herald of Secret Streams,{3}{U},4.0,Creatures you control with +1/+1 counters on them can't be blocked.,2,3,6.84,xln
2599,Abundant Maw,{8},8.0,Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell  target opponent loses 3 life and you gain 3 life.,6,4,0.06,emn
2600,Deep-Sea Terror,{4}{U}{U},6.0,This Card can't attack unless there are seven or more cards in your graveyard.,6,6,0.04,ori
2601,Truefire Captain,{R}{R}{W}{W},4.0,Mentor (Whenever this creature attacks  put a +1/+1 counter on target attacking creature with lesser power.) Whenever This Card is dealt damage  it deals that much damage to target player.,4,3,0.11,grn
2602,Plaxmanta,{1}{U},2.0,Flash When This Card enters the battlefield  creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.) When This Card enters the battlefield  sacrifice it unless {G} was spent to cast it.,2,2,0.11,c15
2603,Nykthos Paragon,{4}{W}{W},6.0,Whenever you gain life  you may put that many +1/+1 counters on each creature you control. Do this only once each turn.,4,6,0.35,mh2
2604,Oracle en-Vec,{1}{W},2.0,{T}: Target opponent chooses any number of creatures they control. During that player's next turn  the chosen creatures attack if able  and other creatures can't attack. At the beginning of that turn's end step  destroy each of the chosen creatures that didn't attack this turn. Activate only during your turn.,1,1,0.48,tmp
2605,Arcbound Whelp,{3}{R},4.0,Flying {R}: This Card gets +1/+0 until end of turn. Modular 2 (This creature enters the battlefield with two +1/+1 counters on it. When it dies  you may put its +1/+1 counters on target artifact creature.),0,0,0.04,mh2
2606,Viashino Heretic,{2}{R},3.0,{1}{R}  {T}: Destroy target artifact. This Card deals damage to that artifact's controller equal to the artifact's mana value.,1,3,0.76,ulg
2607,Hightide Hermit,{4}{U},5.0,Defender When This Card enters the battlefield  you get {E}{E}{E}{E} (four energy counters). Pay {E}{E}: This Card can attack this turn as though it didn't have defender.,4,4,0.02,kld
2608,Goblin Chieftain,{1}{R}{R},3.0,Haste (This creature can attack and {T} as soon as it comes under your control.) Other Goblin creatures you control get +1/+1 and have haste.,2,2,2.92,jmp
2609,"Ertai, the Corrupted",{2}{W}{U}{B},5.0,{U}  {T}  Sacrifice a creature or enchantment: Counter target spell.,3,4,4.89,pls
2610,Treefolk Shaman,_,0.0,_,2,5,0.57,tmma
2611,Frontline Medic,{2}{W},3.0,Battalion — Whenever This Card and at least two other creatures attack  creatures you control gain indestructible until end of turn. Sacrifice This Card: Counter target spell with {X} in its mana cost unless its controller pays {3}.,3,3,0.13,clb
2612,Aven Sentry,{3}{W},4.0,Flying,3,2,0.02,dom
2613,Oran-Rief Survivalist,{1}{G},2.0,Whenever This Card or another Ally enters the battlefield under your control  you may put a +1/+1 counter on This Card.,1,1,0.08,zen
2614,Angel of Jubilation,{1}{W}{W}{W},4.0,Flying Other nonblack creatures you control get +1/+1. Players can't pay life or sacrifice creatures to cast spells or activate abilities.,3,3,8.04,avr
2615,Fangren Pathcutter,{4}{G}{G},6.0,Whenever This Card attacks  attacking creatures gain trample until end of turn.,4,6,0.10,5dn
2616,Akoum Stonewaker,{1}{R},2.0,Landfall — Whenever a land enters the battlefield under your control  you may pay {2}{R}. If you do  create a 3/1 red Elemental creature token with trample and haste. Exile that token at the beginning of the next end step.,2,1,0.05,bfz
2617,Distended Mindbender,{8},8.0,Emerge {5}{B}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell  target opponent reveals their hand. You choose from it a nonland card with mana value 3 or less and a card with mana value 4 or greater. That player discards those cards.,5,5,0.26,emn
2618,Inferno Project,{6}{R},7.0,Trample This Card enters the battlefield with X +1/+1 counters on it  where X is the total mana value of instant and sorcery cards in your graveyard.,0,0,0.08,c21
2619,Tabaxi Toucaneers,{4}{W},5.0,Flying Myriad (Whenever this creature attacks  for each opponent other than defending player  you may create a token that's a copy of this creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.),3,2,0.03,clb
2620,Tuskeri Firewalker,{2}{R},3.0,Boast — {1}: Exile the top card of your library. You may play that card this turn. (Activate only if this creature attacked this turn and only once each turn.),3,2,0.02,khm
2621,Gristleback,{2}{G},3.0,Bloodthirst 1 (If an opponent was dealt damage this turn  this creature enters the battlefield with a +1/+1 counter on it.) Sacrifice This Card: You gain life equal to This Card's power.,2,2,0.12,gpt
2622,Sorin's Guide,{3}{B}{B},5.0,When This Card enters the battlefield  you may search your library and/or graveyard for a card named Sorin  Vampire Lord  reveal it  and put it into your hand. If you search your library this way  shuffle.,4,2,0.24,m20
2623,Restoration Specialist,{1}{W},2.0,{W}  Sacrifice This Card: Return up to one target artifact card and up to one target enchantment card from your graveyard to your hand.,2,1,0.23,aer
2624,Pack Leader,{1}{W},2.0,Other Dogs you control get +1/+1. Whenever This Card attacks  prevent all combat damage that would be dealt this turn to Dogs you control.,2,2,0.20,m21
2625,Ardent Dustspeaker,{4}{R},5.0,Whenever This Card attacks  you may put an instant or sorcery card from your graveyard on the bottom of your library. If you do  exile the top two cards of your library. You may play those cards this turn.,3,4,0.02,stx
2626,Nightshade Assassin,{2}{B}{B},4.0,First strike When This Card enters the battlefield  you may reveal X black cards in your hand. If you do  target creature gets -X/-X until end of turn. Madness {1}{B} (If you discard this card  discard it into exile. When you do  cast it for its madness cost or put it into your graveyard.),2,1,0.03,tsr
2627,"Ragavan, Nimble Pilferer",{R},1.0,Whenever This Card deals combat damage to a player  create a Treasure token and exile the top card of that player's library. Until end of turn  you may cast that card. Dash {1}{R} (You may cast this spell for its dash cost. If you do  it gains haste  and it's returned from the battlefield to its owner's hand at the beginning of the next end step.),2,1,64.97,mh2
2628,Blind-Spot Giant,{2}{R},3.0,This Card can't attack or block unless you control another Giant.,4,3,0.08,mma
2629,Taniwha,{3}{U}{U},5.0,Trample Phasing (This phases in or out before you untap during each of your untap steps. While it's phased out  it's treated as though it doesn't exist.) At the beginning of your upkeep  all lands you control phase out. (They phase in before you untap during your next untap step.),7,7,5.38,mir
2630,Goblin Freerunner,{3}{R},4.0,Surge {1}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.) Menace (This creature can't be blocked except by two or more creatures.),3,2,0.05,ogw
2631,Prophet of Kruphix,{3}{G}{U},5.0,Untap all creatures and lands you control during each other player's untap step. You may cast creature spells as though they had flash.,2,3,0.52,ths
2632,Cosi's Trickster,{U},1.0,Whenever an opponent shuffles their library  you may put a +1/+1 counter on This Card.,1,1,0.51,zen
2633,Wizened Arbiter,{W}{W},2.0,When This Card enters the battlefield  you may reveal a white card you own from outside the game. If you do  exchange that card with a card in your hand.,2,1,0.40,cmb2
2634,Great Desert Prospector,{4}{W},5.0,"When This Card enters the battlefield  create a tapped Powerstone token for each other creature you control. (The tokens are artifacts with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",3,2,0.97,bro
2635,Voice of Reason,{3}{W},4.0,Flying  protection from blue,2,2,0.27,uds
2636,Bellowing Fiend,{4}{B},5.0,Flying Whenever This Card deals damage to a creature  This Card deals 3 damage to that creature's controller and 3 damage to you.,3,3,0.32,7ed
2637,"Rootha, Mercurial Artist",{1}{U}{R},3.0,{2}  Return This Card to its owner's hand: Copy target instant or sorcery spell you control. You may choose new targets for the copy.,1,4,0.06,stx
2638,Falkenrath Noble,{3}{B},4.0,Flying Whenever This Card or another creature dies  target player loses 1 life and you gain 1 life.,2,2,0.28,voc
2639,Elturel Survivors,{3}{R},4.0,Trample  myriad As long as This Card is attacking  it gets +X/+0  where X is the number of lands defending player controls.,0,4,0.14,clb
2640,Gladewalker Ritualist,{2}{G},3.0,Changeling (This card is every creature type.) Whenever another creature named This Card enters the battlefield under your control  draw a card.,3,3,0.11,khm
2641,Grim Lavamancer,{R},1.0,{R}  {T}  Exile two cards from your graveyard: This Card deals 2 damage to any target.,1,1,0.26,2xm
2642,Keeper of the Sacred Word,{2}{G},3.0,As This Card enters the battlefield  choose a word. Whenever an opponent says the chosen word  This Card gets +3/+3 until end of turn.,2,3,0.15,unh
2643,Bold Impaler,{R},1.0,{2}{R}: This Card gets +2/+0 until end of turn.,1,2,0.05,emn
2644,Courtly Provocateur,{2}{U},3.0,{T}: Target creature attacks this turn if able. {T}: Target creature blocks this turn if able.,1,1,0.13,m13
2645,Nightmare,{5}{B},6.0,Flying (This creature can't be blocked except by creatures with flying or reach.) This Card's power and toughness are each equal to the number of Swamps you control.,*,*,0.10,w17
2646,Cleric,_,0.0,_,0,1,0.13,tdom
2647,Verdurous Gearhulk,{3}{G}{G},5.0,Trample When This Card enters the battlefield  distribute four +1/+1 counters among any number of target creatures you control.,4,4,0.27,mic
2648,Cromat,{W}{U}{B}{R}{G},5.0,{W}{B}: Destroy target creature blocking or blocked by This Card. {U}{R}: This Card gains flying until end of turn. {B}{G}: Regenerate This Card. {R}{W}: This Card gets +1/+1 until end of turn. {G}{U}: Put This Card on top of its owner's library.,5,5,5.50,apc
2649,Baleful Strix,{U}{B},2.0,Flying  deathtouch When This Card enters the battlefield  draw a card.,1,1,1.20,dmc
2650,Jagwasp Swarm,{3}{B},4.0,Flying,3,2,0.09,wwk
2651,Zombie Brute,{6}{B},7.0,Amplify 1 (As this creature enters the battlefield  put a +1/+1 counter on it for each Zombie card you reveal in your hand.) Trample,5,4,0.20,lgn
2652,Subtlety,{2}{U}{U},4.0,Flash Flying When This Card enters the battlefield  choose up to one target creature spell or planeswalker spell. Its owner puts it on the top or bottom of their library. Evoke—Exile a blue card from your hand.,3,3,11.03,mh2
2653,Worthy Knight,{1}{W},2.0,Whenever you cast a Knight spell  create a 1/1 white Human creature token.,2,2,0.23,eld
2654,Boros Swiftblade,{R}{W},2.0,Double strike,1,2,0.15,mm2
2655,Twins of Maurer Estate,{4}{B},5.0,Madness {2}{B} (If you discard this card  discard it into exile. When you do  cast it for its madness cost or put it into your graveyard.),3,5,0.09,uma
2656,Glitterflitter,{2}{U},3.0,Flying When This Card enters the battlefield  you get {TK}  then you may put a sticker on a nonland permanent you own.,2,2,0.02,unf
2657,Borderland Behemoth,{5}{R}{R},7.0,Trample This Card gets +4/+4 for each other Giant you control.,4,4,0.28,cm2
2658,"Gargos, Vicious Watcher",{3}{G}{G}{G},6.0,Vigilance Hydra spells you cast cost {4} less to cast. Whenever a creature you control becomes the target of a spell  This Card fights up to one target creature you don't control.,8,7,0.79,m20
2659,Skeleton Archer,{3}{B},4.0,When This Card enters the battlefield  it deals 1 damage to any target.,3,3,0.01,2x2
2660,Elderleaf Mentor,{3}{G},4.0,When This Card enters the battlefield  create a 1/1 green Elf Warrior creature token.,3,2,0.02,khm
2661,Nighthawk Scavenger,{1}{B}{B},3.0,Flying  deathtouch  lifelink This Card's power is equal to 1 plus the number of card types among cards in your opponents' graveyards. (Cards in graveyards have only the characteristics of their front face.),1+*,3,0.26,clb
2662,Nephalia Seakite,{3}{U},4.0,Flash (You may cast this spell any time you could cast an instant.) Flying,2,3,0.04,m14
2663,Crimson Hellkite,{6}{R}{R}{R},9.0,Flying {X}  {T}: This Card deals X damage to target creature. Spend only red mana on X.,6,6,0.40,7ed
2664,Psionic Entity,{4}{U},5.0,{T}: This Card deals 2 damage to any target and 3 damage to itself.,2,2,0.29,4ed
2665,Aven Fleetwing,{3}{U},4.0,Flying Hexproof (This creature can't be the target of spells or abilities your opponents control.),2,2,0.06,m12
2666,Witherscale Wurm,{4}{G}{G},6.0,Whenever This Card blocks or becomes blocked by a creature  that creature gains wither until end of turn. (It deals damage to creatures in the form of -1/-1 counters.) Whenever This Card deals damage to an opponent  remove all -1/-1 counters from it.,9,9,0.36,shm
2667,Bloodborn Scoundrels,{5}{B},6.0,Assist (Another player can pay up to {5} of this spell's cost.) When This Card enters the battlefield  target opponent loses 2 life and you gain 2 life.,4,4,0.04,bbd
2668,Dulcet Sirens,{2}{U},3.0,{U}  {T}: Target creature attacks target opponent this turn if able. Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),1,3,0.56,c14
2669,Vortex Runner,{2}{U},3.0,As long as you control eight or more lands  This Card gets +1/+0 and can't be blocked.,2,3,0.01,stx
2670,Fuming Effigy,{3}{R},4.0,Whenever one or more cards leave your graveyard  This Card deals 1 damage to each opponent.,4,3,0.02,stx
2671,Despondent Killbot,{2},2.0,_,2,1,0.24,ust
2672,Master of Arms,{2}{W},3.0,First strike {1}{W}: Tap target creature blocking This Card.,2,2,0.14,wth
2673,Canopy Spider,{1}{G},2.0,Reach (This creature can block creatures with flying.),1,3,0.25,m20
2674,Star Pupil,{W},1.0,This Card enters the battlefield with a +1/+1 counter on it. When This Card dies  put its counters on target creature you control.,0,0,0.04,stx
2675,Vent Sentinel,{3}{R},4.0,Defender {1}{R}  {T}: This Card deals damage to target player or planeswalker equal to the number of creatures you control with defender.,2,4,0.06,ima
2676,Undead Alchemist,{3}{U},4.0,If a Zombie you control would deal combat damage to a player  instead that player mills that many cards. Whenever a creature card is put into an opponent's graveyard from their library  exile that card and create a 2/2 black Zombie creature token.,4,2,0.31,mic
2677,Corrosive Mentor,{2}{B},3.0,Black creatures you control have wither. (They deal damage to creatures in the form of -1/-1 counters.),1,3,1.82,shm
2678,Ivory Giant,{5}{W}{W},7.0,When This Card enters the battlefield  tap all nonwhite creatures. Suspend 5—{W} (Rather than cast this card from your hand  you may pay {W} and exile it with five time counters on it. At the beginning of your upkeep  remove a time counter. When the last is removed  cast it without paying its mana cost. It has haste.),3,4,0.01,tsr
2679,Grim Physician,{B},1.0,When This Card dies  target creature an opponent controls gets -1/-1 until end of turn.,1,1,0.02,thb
2680,Affa Guard Hound,{2}{W},3.0,Flash (You may cast this spell any time you could cast an instant.) When This Card enters the battlefield  target creature gets +0/+3 until end of turn.,2,2,0.06,jmp
2681,Merfolk Skyscout,{2}{U}{U},4.0,Flying Whenever This Card attacks or blocks  untap target permanent.,2,3,0.12,cn2
2682,Fugitive Wizard,{U},1.0,_,1,1,0.01,m15
2683,Goblin Dynamo,{5}{R}{R},7.0,{T}: This Card deals 1 damage to any target. {X}{R}  {T}  Sacrifice This Card: It deals X damage to any target.,4,4,0.26,lgn
2684,Ironclad Revolutionary,{4}{B}{B},6.0,When This Card enters the battlefield  you may sacrifice an artifact. If you do  put two +1/+1 counters on This Card and each opponent loses 2 life.,4,4,0.03,aer
2685,Orcish Paratroopers,{2}{R},3.0,When This Card enters the battlefield  flip it from a height of at least one foot. Sacrifice This Card unless it turns over completely at least once during the flip and lands face up.,4,4,0.11,unh
2686,Paragon of Gathering Mists,{3}{U},4.0,Other blue creatures you control get +1/+1. {U}  {T}: Another target blue creature you control gains flying until end of turn.,2,2,0.17,m15
2687,Magmatic Channeler,{1}{R},2.0,As long as there are four or more instant and/or sorcery cards in your graveyard  This Card gets +3/+1. {T}  Discard a card: Exile the top two cards of your library  then choose one of them. You may play that card this turn.,1,3,0.22,znr
2688,Vodalian Mindsinger,{1}{U}{U},3.0,Kicker {1}{R} and/or {1}{G} This Card enters the battlefield with two +1/+1 counters on it for each time it was kicked. When This Card enters the battlefield  gain control of target creature with power less than This Card's power for as long as you control This Card.,2,2,0.11,dmu
2689,Emancipation Angel,{1}{W}{W},3.0,Flying When This Card enters the battlefield  return a permanent you control to its owner's hand.,3,3,0.26,jmp
2690,Chained Brute,{1}{R},2.0,This Card doesn't untap during your untap step. {1}  Sacrifice another creature: Untap This Card. Activate only during your turn.,4,3,0.04,jmp
2691,Game-Trail Changeling,{3}{G}{G},5.0,Changeling (This card is every creature type.) Trample,4,4,0.24,mor
2692,Ink-Treader Nephilim,{R}{G}{W}{U},4.0,Whenever a player casts an instant or sorcery spell  if that spell targets only This Card  copy the spell for each other creature that spell could target. Each copy targets a different one of those creatures.,3,3,1.43,gpt
2693,Rasaad yn Bashir,{2}{W},3.0,Each creature you control assigns combat damage equal to its toughness rather than its power. Whenever This Card attacks  if you have the initiative  double the toughness of each creature you control until end of turn. Choose a Background (You can have a Background as a second commander.),0,3,0.07,clb
2694,Psychotrope Thallid,{2}{G},3.0,At the beginning of your upkeep  put a spore counter on This Card. Remove three spore counters from This Card: Create a 1/1 green Saproling creature token. {1}  Sacrifice a Saproling: Draw a card.,1,1,4.30,plc
2695,Cinder Crawler,{1}{R},2.0,{R}: This Card gets +1/+0 until end of turn. Activate only if This Card is blocked.,1,2,0.06,exo
2696,Setessan Champion,{2}{G},3.0,Constellation — Whenever an enchantment enters the battlefield under your control  put a +1/+1 counter on This Card and draw a card.,1,3,3.93,thb
2697,"Adeline, Resplendent Cathar",{1}{W}{W},3.0,Vigilance This Card's power is equal to the number of creatures you control. Whenever you attack  for each opponent  create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.,*,4,9.66,mid
2698,Ivy Elemental,{X}{G},1.0,This Card enters the battlefield with X +1/+1 counters on it.,0,0,0.10,iko
2699,Mothrider Samurai,{3}{W},4.0,Flying Bushido 1 (Whenever this creature blocks or becomes blocked  it gets +1/+1 until end of turn.),2,2,0.16,chk
2700,Matter Reshaper,{2}{C},3.0,({C} represents colorless mana.) When This Card dies  reveal the top card of your library. You may put that card onto the battlefield if it's a permanent card with mana value 3 or less. Otherwise  put that card into your hand.,3,2,1.71,ogw
2701,Glory,{3}{W}{W},5.0,Flying {2}{W}: Choose a color. Creatures you control gain protection from the chosen color until end of turn. Activate only if This Card is in your graveyard.,3,3,4.10,jud
2702,Lorehold Apprentice,{R}{W},2.0,"Magecraft — Whenever you cast or copy an instant or sorcery spell  until end of turn  Spirit creatures you control gain ""{T}: This creature deals 1 damage to each opponent.""",2,2,0.04,stx
2703,Gladecover Scout,{G},1.0,Hexproof (This creature can't be the target of spells or abilities your opponents control.),1,1,0.20,m14
2704,Pouncing Shoreshark,{4}{U},5.0,Mutate {3}{U} (If you cast this spell for its mutate cost  put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Flash Whenever this creature mutates  you may return target creature an opponent controls to its owner's hand.,4,3,0.12,iko
2705,Murk Strider,{3}{U},4.0,Devoid (This card has no color.) When This Card enters the battlefield  you may put a card an opponent owns from exile into that player's graveyard. If you do  return target creature to its owner's hand.,3,2,0.03,bfz
2706,Gate Colossus,{8},8.0,This spell costs {1} less to cast for each Gate you control. This Card can't be blocked by creatures with power 2 or less. Whenever a Gate enters the battlefield under your control  you may put This Card from your graveyard on top of your library.,8,8,0.10,clb
2707,Nantuko Shaman,{2}{G},3.0,When This Card enters the battlefield  if you control no tapped lands  draw a card. Suspend 1—{2}{G}{G} (Rather than cast this card from your hand  you may pay {2}{G}{G} and exile it with a time counter on it. At the beginning of your upkeep  remove a time counter. When the last is removed  cast it without paying its mana cost. It has haste.),3,2,0.01,tsr
2708,Wayward Swordtooth,{2}{G},3.0,Ascend (If you control ten or more permanents  you get the city's blessing for the rest of the game.) You may play an additional land on each of your turns. This Card can't attack or block unless you have the city's blessing.,5,5,9.79,rix
2709,Smoke Teller,{1}{G},2.0,{1}{U}: Look at target face-down creature.,2,2,0.05,ktk
2710,"Ayara, First of Locthwain",{B}{B}{B},3.0,Whenever This Card or another black creature enters the battlefield under your control  each opponent loses 1 life and you gain 1 life. {T}  Sacrifice another black creature: Draw a card.,2,3,4.21,eld
2711,Bane of Bala Ged,{7},7.0,Whenever This Card attacks  defending player exiles two permanents they control.,7,5,0.57,bfz
2712,Poisonbelly Ogre,{4}{B},5.0,Whenever another creature enters the battlefield  its controller loses 1 life.,3,3,0.05,gpt
2713,Fairgrounds Warden,{2}{W},3.0,When This Card enters the battlefield  exile target creature an opponent controls until This Card leaves the battlefield.,1,3,0.09,kld
2714,Fiend of the Shadows,{3}{B}{B},5.0,Flying Whenever This Card deals combat damage to a player  that player exiles a card from their hand. You may play that card for as long as it remains exiled. Sacrifice a Human: Regenerate This Card.,3,3,0.17,afc
2715,Sisters of the Flame,{1}{R}{R},3.0,{T}: Add {R}.,2,2,0.10,4ed
2716,Razorfin Abolisher,{2}{U},3.0,{1}{U}  {T}: Return target creature with a counter on it to its owner's hand.,2,2,0.19,eve
2717,Nevermaker,{3}{U},4.0,Flying When This Card leaves the battlefield  put target nonland permanent on top of its owner's library. Evoke {3}{U} (You may cast this spell for its evoke cost. If you do  it's sacrificed when it enters the battlefield.),2,3,0.43,mor
2718,Emmara Tandris,{5}{G}{W},7.0,Prevent all damage that would be dealt to creature tokens you control.,5,7,0.16,c19
2719,Pixie Queen,{2}{G}{G},4.0,Flying {G}{G}{G}  {T}: Target creature gains flying until end of turn.,1,1,85.56,leg
2720,Sunder Shaman,{R}{R}{G}{G},4.0,This Card can't be blocked by more than one creature. Whenever This Card deals combat damage to a player  destroy target artifact or enchantment that player controls.,5,5,0.09,rna
2721,Naiad of Hidden Coves,{2}{U},3.0,As long as it's not your turn  spells you cast cost {1} less to cast.,2,3,0.06,thb
2722,Streetbreaker Wurm,{3}{R}{G},5.0,_,6,4,0.06,gpt
2723,Steadfast Sentinel,{3}{W},4.0,Vigilance Eternalize {4}{W}{W} ({4}{W}{W}  Exile this card from your graveyard: Create a token that's a copy of it  except it's a 4/4 black Zombie Human Cleric with no mana cost. Eternalize only as a sorcery.),2,3,0.01,hou
2724,Seraph of Dawn,{2}{W}{W},4.0,Flying  lifelink,2,4,0.04,cmr
2725,Kami of the Crescent Moon,{U}{U},2.0,At the beginning of each player's draw step  that player draws an additional card.,1,3,0.94,voc
2726,Storm Crow,_,0.0,Flying,1,2,0.13,tunf
2727,Patron of the Akki,{4}{R}{R},6.0,Goblin offering (You may cast this card any time you could cast an instant by sacrificing a Goblin and paying the difference in mana costs between this and the sacrificed Goblin. Mana cost includes color.) Whenever This Card attacks  creatures you control get +2/+0 until end of turn.,5,5,0.35,bok
2728,Archon of Falling Stars,{4}{W}{W},6.0,Flying When This Card dies  you may return target enchantment card from your graveyard to the battlefield.,4,4,0.04,thb
2729,Mistmeadow Witch,{1}{W/U},2.0,{2}{W}{U}: Exile target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.,1,1,0.08,2x2
2730,Amateur Auteur,{1}{W},2.0,Sacrifice This Card: Destroy target enchantment.,2,2,0.14,ust
2731,Sisters of Stone Death,{4}{B}{B}{G}{G},8.0,{G}: Target creature blocks This Card this turn if able. {B}{G}: Exile target creature blocking or blocked by This Card. {2}{B}: Put a creature card exiled with This Card onto the battlefield under your control.,7,5,1.08,rav
2732,Goblin Snowman,{3}{R},4.0,Whenever This Card blocks  prevent all combat damage that would be dealt to and dealt by it this turn. {T}: This Card deals 1 damage to target creature it's blocking.,1,1,0.26,tsb
2733,Skirsdag Flayer,{1}{B},2.0,{3}{B}  {T}  Sacrifice a Human: Destroy target creature.,1,1,0.11,dka
2734,Stormscape Battlemage,{2}{U},3.0,Kicker {W} and/or {2}{B} (You may pay an additional {W} and/or {2}{B} as you cast this spell.) When This Card enters the battlefield  if it was kicked with its {W} kicker  you gain 3 life. When This Card enters the battlefield  if it was kicked with its {2}{B} kicker  destroy target nonblack creature. That creature can't be regenerated.,2,2,0.07,c13
2735,Gray Merchant of Asphodel,{3}{B}{B},5.0,When This Card enters the battlefield  each opponent loses X life  where X is your devotion to black. You gain life equal to the life lost this way. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.),2,4,0.49,thb
2736,Dr. Julius Jumblemorph,{2}{G}{W},4.0,This Card is every creature type (even if this card isn't on the battlefield). Whenever a host enters the battlefield under your control  you may search your library and/or graveyard for a card with augment and combine it with that host. If you search your library this way  shuffle.,4,4,0.47,ust
2737,Huntmaster Liger,{3}{W},4.0,Mutate {2}{W} (If you cast this spell for its mutate cost  put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Whenever this creature mutates  other creatures you control get +X/+X until end of turn  where X is the number of times this creature has mutated.,3,4,0.08,iko
2738,Goblin Trailblazer,{1}{R},2.0,Menace (This creature can't be blocked except by two or more creatures.),2,1,0.02,cmr
2739,Delraich,{6}{B},7.0,You may sacrifice three black creatures rather than pay this spell's mana cost. Trample,6,6,0.90,mmq
2740,Chimney Imp,{4}{B},5.0,Flying When This Card dies  target opponent puts a card from their hand on top of their library.,1,2,0.08,mrd
2741,Venerable Kumo,{4}{G},5.0,Reach (This creature can block creatures with flying.) Soulshift 4 (When this creature dies  you may return target Spirit card with mana value 4 or less from your graveyard to your hand.),2,3,0.10,chk
2742,Fire Elemental,{3}{R}{R},5.0,_,5,4,0.01,m20
2743,Spiritmonger,{3}{B}{G},5.0,Whenever This Card deals damage to a creature  put a +1/+1 counter on This Card. {B}: Regenerate This Card. {G}: This Card becomes the color of your choice until end of turn.,6,6,0.17,ima
