,name,mana_cost,cmc,oracle_text,prices,set,rarity
1920,Sunstone,{3},3.0,{2}  Sacrifice a snow land: Prevent all combat damage that would be dealt this turn.,0.28,ice,1
1921,Dismantling Blow,{2}{W},3.0,Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.) Destroy target artifact or enchantment. If this spell was kicked  draw two cards.,0.05,mh1,1
1922,Intimidation Bolt,{1}{R}{W},3.0,This Card deals 3 damage to target creature. Other creatures can't attack this turn.,0.28,arb,1
1924,Dying Wish,{1}{B},2.0,Enchant creature you control When enchanted creature dies  target player loses X life and you gain X life  where X is its power.,0.16,gtc,1
1925,Return to Dust,{2}{W}{W},4.0,Exile target artifact or enchantment. If you cast this spell during your main phase  you may exile up to one other target artifact or enchantment.,0.17,mic,1
1926,Morphic Tide,_,0.0,When you encounter This Card  each player shuffles all permanents they own into their library  then reveals that many cards from the top of their library. Each player puts all artifact  creature  land  and planeswalker cards revealed this way onto the battlefield  then does the same for enchantment cards  then puts all cards revealed this way that weren't put onto the battlefield on the bottom of their library in any order. (Then planeswalk away from this phenomenon.),1.56,opca,0
1927,Fungal Sprouting,{3}{G},4.0,Create X 1/1 green Saproling creature tokens  where X is the greatest power among creatures you control.,0.33,m13,1
1928,Battlefield Promotion,{1}{W},2.0,Put a +1/+1 counter on target creature. That creature gains first strike until end of turn. You gain 2 life.,0.01,2x2,0
1929,Tempted by the Oriq,{1}{U}{U}{U},4.0,For each opponent  gain control of up to one target creature or planeswalker that player controls with mana value 3 or less.,0.22,stx,2
1930,Incite,{R},1.0,Target creature becomes red until end of turn and attacks this turn if able.,0.04,m11,0
1931,Call to the Feast,{2}{W}{B},4.0,Create three 1/1 white Vampire creature tokens with lifelink.,0.04,2x2,0
1932,Rousing Read,{2}{U},3.0,Enchant creature When This Card enters the battlefield  draw two cards  then discard a card. Enchanted creature gets +1/+1 and has flying.,0.04,m21,0
1933,Ancient Grudge,{1}{R},2.0,Destroy target artifact. Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.11,tsr,0
1934,Unearthly Blizzard,{2}{R},3.0,Up to three target creatures can't block this turn.,0.1,chk,0
1935,Divine Verdict,{3}{W},4.0,Destroy target attacking or blocking creature.,0.02,rix,0
1936,Jar of Eyeballs,{3},3.0,Whenever a creature you control dies  put two eyeball counters on This Card. {3}  {T}  Remove all eyeball counters from This Card: Look at the top X cards of your library  where X is the number of eyeball counters removed this way. Put one of them into your hand and the rest on the bottom of your library in any order.,0.17,c13,2
1937,Season of the Witch,{B}{B}{B},3.0,At the beginning of your upkeep  sacrifice This Card unless you pay 2 life. At the beginning of the end step  destroy all untapped creatures that didn't attack this turn  except for creatures that couldn't attack.,47.03,drk,2
1938,Spelltwine,{5}{U},6.0,Exile target instant or sorcery card from your graveyard and target instant or sorcery card from an opponent's graveyard. Copy those cards. Cast the copies if able without paying their mana costs. Exile This Card.,0.27,c17,2
1939,Biogenic Upgrade,{4}{G}{G},6.0,Distribute three +1/+1 counters among one  two  or three target creatures  then double the number of +1/+1 counters on each of those creatures.,0.06,2x2,1
1940,"Mu Yanling, Sky Dancer Emblem",_,0.0,"Islands you control have ""{T}: Draw a card.""",0.58,tm20,0
1941,Sacred Nectar,{1}{W},2.0,You gain 4 life.,0.09,9ed,0
1942,Inspired Tinkering,{4}{R},5.0,"Exile the top three cards of your library. Until the end of your next turn  you may play those cards. Create three Treasure tokens. (They're artifacts with ""{T}  Sacrifice this artifact: Add one mana of any color."")",0.12,clb,1
1943,Hammer of Bogardan,{1}{R}{R},3.0,This Card deals 3 damage to any target. {2}{R}{R}{R}: Return This Card from your graveyard to your hand. Activate only during your upkeep.,0.34,8ed,2
1944,Desperate Research,{1}{B},2.0,Choose a card name other than a basic land card name. Reveal the top seven cards of your library and put all of them with that name into your hand. Exile the rest.,0.22,inv,2
1945,Rogue's Gloves,{2},2.0,Whenever equipped creature deals combat damage to a player  you may draw a card. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),0.24,jmp,1
1946,Bleeding Edge,{1}{B}{B},3.0,Up to one target creature gets -2/-2 until end of turn. Amass 2. (Put two +1/+1 counters on an Army you control. If you don't control one  create a 0/0 black Zombie Army creature token first.),0.05,war,1
1947,Polymorphous Rush,{2}{U},3.0,Strive — This spell costs {1}{U} more to cast for each target beyond the first. Choose a creature on the battlefield. Any number of target creatures you control each become a copy of that creature until end of turn.,0.16,jou,2
1948,Dawn of the Dead,{2}{B}{B}{B},5.0,At the beginning of your upkeep  you lose 1 life. At the beginning of your upkeep  you may return target creature card from your graveyard to the battlefield. That creature gains haste until end of turn. Exile it at the beginning of the next end step.,3.55,tor,2
1949,Torment of Hailfire,{X}{B}{B},2.0,Repeat the following process X times. Each opponent loses 3 life unless that player sacrifices a nonland permanent or discards a card.,16.75,hou,2
1950,Storm Herd,{8}{W}{W},10.0,Create X 1/1 white Pegasus creature tokens with flying  where X is your life total.,0.17,khc,2
1951,Arcane Lighthouse,_,0.0,{T}: Add {C}. {1}  {T}: Until end of turn  creatures your opponents control lose hexproof and shroud and can't have hexproof or shroud.,6.65,cm2,1
1952,Into the North,{1}{G},2.0,Search your library for a snow land card  put it onto the battlefield tapped  then shuffle.,0.88,csp,0
1953,Circuitous Route,{3}{G},4.0,Search your library for up to two basic land cards and/or Gate cards  put them onto the battlefield tapped  then shuffle.,1.02,znc,1
1954,Stolen Identity,{4}{U}{U},6.0,Create a token that's a copy of target artifact or creature. Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player  its controller may cast a copy of the encoded card without paying its mana cost.),0.18,ncc,2
1955,Icefall,{2}{R}{R},4.0,Destroy target artifact or land. Recover {R}{R} (When a creature is put into your graveyard from the battlefield  you may pay {R}{R}. If you do  return this card from your graveyard to your hand. Otherwise  exile this card.),0.2,csp,0
1956,Savage Summoning,{G},1.0,This spell can't be countered. The next creature spell you cast this turn can be cast as though it had flash. That spell can't be countered. That creature enters the battlefield with an additional +1/+1 counter on it.,0.7,m14,2
1957,Mausoleum Secrets,{1}{B},2.0,Undergrowth — Search your library for a black card with mana value less than or equal to the number of creature cards in your graveyard  reveal it  put it into your hand  then shuffle.,0.97,grn,2
1958,Explosive Singularity,{8}{R}{R},10.0,As an additional cost to cast this spell  you may tap any number of untapped creatures you control. This spell costs {1} less to cast for each creature tapped this way. This Card deals 10 damage to any target.,0.32,neo,3
1959,Soul Nova,{3}{W}{W},5.0,Exile target attacking creature and all Equipment attached to it.,0.09,mrd,1
1960,Drag Down,{2}{B},3.0,Domain — Target creature gets -1/-1 until end of turn for each basic land type among lands you control.,0.04,mma,0
1961,Evolving Door,{2}{G},3.0,{1}  {T}  Sacrifice a creature: Count the colors of the sacrificed creature  then search your library for a creature card that's exactly that many colors plus one. Exile that card  then shuffle. You may cast the exiled card. Activate only as a sorcery.,0.12,snc,2
1962,Imp's Mischief,{1}{B},2.0,Change the target of target spell with a single target. You lose life equal to that spell's mana value.,25.08,plc,2
1963,Delif's Cube,{1},1.0,{2}  {T}: This turn  when target creature you control attacks and isn't blocked  it assigns no combat damage this turn and you put a cube counter on This Card. {2}  Remove a cube counter from This Card: Regenerate target creature.,1.98,fem,2
1965,Finale of Eternity,{X}{B}{B},2.0,Destroy up to three target creatures with toughness X or less. If X is 10 or more  return all creature cards from your graveyard to the battlefield.,0.99,war,3
1966,Quiet Disrepair,{1}{G},2.0,Enchant artifact or enchantment At the beginning of your upkeep  choose one — • Destroy enchanted permanent. • You gain 2 life.,0.19,pca,0
1967,Desert of the Fervent,_,0.0,This Card enters the battlefield tapped. {T}: Add {R}. Cycling {1}{R} ({1}{R}  Discard this card: Draw a card.),0.1,c21,0
1968,Spara's Headquarters,_,0.0,({T}: Add {G}  {W}  or {U}.) This Card enters the battlefield tapped. Cycling {3} ({3}  Discard this card: Draw a card.),6.77,snc,2
1969,Hydrolash,{2}{U},3.0,Attacking creatures get -2/-0 until end of turn. Draw a card.,0.19,gnt,1
1970,Garruk's Uprising,{2}{G},3.0,When This Card enters the battlefield  if you control a creature with power 4 or greater  draw a card. Creatures you control have trample. (They can deal excess combat damage to the player or planeswalker they're attacking.) Whenever a creature with power 4 or greater enters the battlefield under your control  draw a card.,1.93,ncc,1
1971,Firewild Borderpost,{1}{R}{G},3.0,You may pay {1} and return a basic land you control to its owner's hand rather than pay this spell's mana cost. This Card enters the battlefield tapped. {T}: Add {R} or {G}.,0.17,arb,0
1972,Endless Obedience,{4}{B}{B},6.0,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Put target creature card from a graveyard onto the battlefield under your control.,0.1,znc,1
1973,Mogis's Favor,{B},1.0,Enchant creature Enchanted creature gets +2/-1. Escape—{2}{B}  Exile two other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.),0.02,thb,0
1974,Prowess of the Fair,{1}{B},2.0,Whenever another nontoken Elf is put into your graveyard from the battlefield  you may create a 1/1 green Elf Warrior creature token.,0.22,khc,1
1975,Harsh Scrutiny,{B},1.0,Target opponent reveals their hand. You choose a creature card from it. That player discards that card. Scry 1.,0.16,kld,1
1976,Demonfire,{X}{R},1.0,This Card deals X damage to any target. If a creature dealt damage this way would die this turn  exile it instead. Hellbent — If you have no cards in hand  this spell can't be countered and the damage can't be prevented.,0.39,jvc,2
1977,Scattering Stroke,{2}{U}{U},4.0,Counter target spell. Clash with an opponent. If you win  at the beginning of your next main phase  you may add an amount of {C} equal to that spell's mana value. (Each clashing player reveals the top card of their library  then puts that card on the top or bottom. A player wins if their card had a higher mana value.),0.23,cmd,1
1978,Qilin's Blessing,{W},1.0,Target creature gets +2/+2 until end of turn.,0.12,gs1,0
1979,Night Soil,{G}{G},2.0,{1}  Exile two creature cards from a single graveyard: Create a 1/1 green Saproling creature token.,1.97,c13,0
1980,Crown of Convergence,{2},2.0,Play with the top card of your library revealed. As long as the top card of your library is a creature card  creatures you control that share a color with that card get +1/+1. {G}{W}: Put the top card of your library on the bottom of your library.,0.24,rav,2
1981,Clutch of the Undercity,{1}{U}{U}{B},4.0,Return target permanent to its owner's hand. Its controller loses 3 life. Transmute {1}{U}{B} ({1}{U}{B}  Discard this card: Search your library for a card with the same mana value as this card  reveal it  put it into your hand  then shuffle. Transmute only as a sorcery.),0.26,rav,1
1982,Tithe,{W},1.0,Search your library for a Plains card. If target opponent controls more lands than you  you may search your library for an additional Plains card. Reveal those cards  put them into your hand  then shuffle.,26.76,vis,2
1983,Syncopate,{X}{U},1.0,Counter target spell unless its controller pays {X}. If that spell is countered this way  exile it instead of putting it into its owner's graveyard.,0.05,vow,0
1984,Last Rites,{2}{B},3.0,Discard any number of cards. Target player reveals their hand  then you choose a nonland card from it for each card discarded this way. That player discards those cards.,0.13,ody,0
1985,Stern Dismissal,{U},1.0,Return target creature or enchantment an opponent controls to its owner's hand.,0.1,thb,0
1986,False Mourning,{G},1.0,Put target card from your graveyard on top of your library.,39.56,ptk,1
1987,Essence Fracture,{3}{U}{U},5.0,Return two target creatures to their owners' hands. Cycling {2}{U} ({2}{U}  Discard this card: Draw a card.),0.11,ons,1
1988,Lunar Force,{2}{U},3.0,When an opponent casts a spell  sacrifice This Card and counter that spell.,0.13,emn,1
1989,From Beyond,{3}{G},4.0,"Devoid (This card has no color.) At the beginning of your upkeep  create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" {1}{G}  Sacrifice This Card: Search your library for an Eldrazi card  reveal it  put it into your hand  then shuffle.",0.42,bfz,2
1990,Bone to Ash,{2}{U}{U},4.0,Counter target creature spell. Draw a card.,0.04,m20,0
1991,Worldslayer,{5},5.0,Whenever equipped creature deals combat damage to a player  destroy all permanents other than This Card. Equip {5} ({5}: Attach to target creature you control. Equip only as a sorcery.),1.8,m12,2
1992,Late to Dinner,{3}{W},4.0,"Return target creature card from your graveyard to the battlefield. Create a Food token. (It's an artifact with ""{2}  {T}  Sacrifice this artifact: You gain 3 life."")",0.02,mh2,0
1993,Runner's Bane,{1}{U},2.0,Enchant creature with power 3 or less When This Card enters the battlefield  tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step.,0.06,dgm,0
1994,Prison Term,{1}{W}{W},3.0,Enchant creature Enchanted creature can't attack or block  and its activated abilities can't be activated. Whenever a creature enters the battlefield under an opponent's control  you may attach This Card to that creature.,0.71,cmd,1
1995,Retract,{U},1.0,Return all artifacts you control to their owner's hand.,3.06,dst,2
1996,"Nissa, Vital Force",{3}{G}{G},5.0,"+1: Untap target land you control. Until your next turn  it becomes a 5/5 Elemental creature with haste. It's still a land. −3: Return target permanent card from your graveyard to your hand. −6: You get an emblem with ""Whenever a land enters the battlefield under your control  you may draw a card.""",3.35,kld,3
1997,Allied Assault,{2}{W},3.0,Up to two target creatures each get +X/+X until end of turn  where X is the number of creatures in your party. (Your party consists of up to one each of Cleric  Rogue  Warrior  and Wizard.),0.02,znr,1
1998,Journey to Oblivion,{4}{W},5.0,This spell costs {1} less to cast for each creature in your party. (Your party consists of up to one each of Cleric  Rogue  Warrior  and Wizard.) When This Card enters the battlefield  exile target nonland permanent an opponent controls until This Card leaves the battlefield.,0.05,znr,1
1999,Wayfarer's Bauble,{1},1.0,{2}  {T}  Sacrifice This Card: Search your library for a basic land card  put that card onto the battlefield tapped  then shuffle.,0.54,clb,0
2000,Forever Young,{1}{B},2.0,Put any number of target creature cards from your graveyard on top of your library. Draw a card.,0.11,eld,0
2001,Mindblaze,{5}{R},6.0,Choose a nonland card name and a number greater than 0. Target player reveals their library. If that library contains exactly the chosen number of cards with the chosen name  This Card deals 8 damage to that player. Then that player shuffles.,0.28,chk,2
2002,Feral Incarnation,{8}{G},9.0,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Create three 3/3 green Beast creature tokens.,0.06,m15,1
2003,Early Harvest,{1}{G}{G},3.0,Target player untaps all basic lands they control.,2.11,9ed,2
2004,Well-Read,_,0.0,(Theme color: {U}),0.02,fjmp,0
2005,Reckless Assault,{2}{B}{R},4.0,{1}  Pay 2 life: This Card deals 1 damage to any target.,0.23,inv,2
2006,Brink of Madness,{2}{B}{B},4.0,At the beginning of your upkeep  if you have no cards in hand  sacrifice This Card and target opponent discards their hand.,0.23,ulg,2
2008,Millstone,{2},2.0,{2}  {T}: Target player mills two cards.,0.08,m19,1
2009,Ancestral Vengeance,{B}{B},2.0,Enchant creature When This Card enters the battlefield  put a +1/+1 counter on target creature you control. Enchanted creature gets -1/-1.,0.02,frf,0
2010,Brain in a Jar,{2},2.0,{1}  {T}: Put a charge counter on This Card  then you may cast an instant or sorcery spell with mana value equal to the number of charge counters on This Card from your hand without paying its mana cost. {3}  {T}  Remove X charge counters from This Card: Scry X.,0.2,soi,2
2011,Frogify,{1}{U},2.0,Enchant creature Enchanted creature loses all abilities and is a blue Frog creature with base power and toughness 1/1. (It loses all other card types and creature types.),0.15,2xm,0
2012,Hedron Archive,{4},4.0,{T}: Add {C}{C}. {2}  {T}  Sacrifice This Card: Draw two cards.,0.19,dmc,1
2013,Jinxed Choker,{3},3.0,At the beginning of your end step  target opponent gains control of This Card and puts a charge counter on it. At the beginning of your upkeep  This Card deals damage to you equal to the number of charge counters on it. {3}: Put a charge counter on This Card or remove one from it.,0.62,mrd,2
2014,Frozen Aether,{3}{U},4.0,Artifacts  creatures  and lands your opponents control enter the battlefield tapped.,1.51,plc,1
2015,Snuff Out,{3}{B},4.0,If you control a Swamp  you may pay 4 life rather than pay this spell's mana cost. Destroy target nonblack creature. It can't be regenerated.,21.06,gvl,0
2016,Bant Charm,{G}{W}{U},3.0,Choose one — • Destroy target artifact. • Put target creature on the bottom of its owner's library. • Counter target instant spell.,0.1,2x2,1
2017,Chance for Glory,{1}{R}{W},3.0,Creatures you control gain indestructible. Take an extra turn after this one. At the beginning of that turn's end step  you lose the game.,1.33,grn,3
2018,Agent of the Iron Throne,{2}{B},3.0,"Commander creatures you own have ""Whenever an artifact or creature you control is put into a graveyard from the battlefield  each opponent loses 1 life.""",0.18,clb,1
2019,Reconnaissance,{W},1.0,{0}: Remove target attacking creature you control from combat and untap it.,11.03,exo,1
2020,Lava Blister,{1}{R},2.0,Destroy target nonbasic land unless its controller has This Card deal 6 damage to them.,0.2,ody,1
2021,Festering Wound,{1}{B},2.0,Enchant creature At the beginning of your upkeep  you may put an infection counter on This Card. At the beginning of the upkeep of enchanted creature's controller  This Card deals X damage to that player  where X is the number of infection counters on This Card.,0.22,uds,1
2022,Barren Moor,_,0.0,This Card enters the battlefield tapped. {T}: Add {B}. Cycling {B} ({B}  Discard this card: Draw a card.),0.24,c21,1
2023,Rite of Consumption,{1}{B},2.0,As an additional cost to cast this spell  sacrifice a creature. This Card deals damage equal to the sacrificed creature's power to target player or planeswalker. You gain life equal to the damage dealt this way.,0.6,shm,0
2024,Runed Arch,{3},3.0,This Card enters the battlefield tapped. {X}  {T}  Sacrifice This Card: X target creatures with power 2 or less can't be blocked this turn.,0.26,ice,2
2025,Rats' Feast,{X}{B},1.0,Exile X target cards from a single graveyard.,0.11,jud,0
2026,Sleek Schooner,{3},3.0,Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.),0.08,xln,1
2027,Skeleton Key,{1},1.0,Equipped creature has skulk. (It can't be blocked by creatures with greater power.) Whenever equipped creature deals combat damage to a player  you may draw a card. If you do  discard a card. Equip {2},0.2,soi,1
2028,Psychic Corrosion,{2}{U},3.0,Whenever you draw a card  each opponent mills two cards.,3.11,m19,1
2029,Infernal Reckoning,{B},1.0,Exile target colorless creature. You gain life equal to its power.,0.16,m19,2
2030,Fetid Pools,_,0.0,({T}: Add {U} or {B}.) This Card enters the battlefield tapped. Cycling {2} ({2}  Discard this card: Draw a card.),3.84,akh,2
2031,Pharika's Libation,{2}{B},3.0,Choose one — • Target opponent sacrifices a creature. • Target opponent sacrifices an enchantment.,0.07,thb,0
2032,Radiant Grove,_,0.0,({T}: Add {G} or {W}.) This Card enters the battlefield tapped.,0.21,dmu,0
2033,Candlekeep Inspiration,{4}{U},5.0,Until end of turn  creatures you control have base power and toughness X/X  where X is the number of cards you own in exile and in your graveyard that are instant cards  are sorcery cards  and/or have an Adventure.,0.11,clb,1
2034,Guardians' Pledge,{1}{W}{W},3.0,White creatures you control get +2/+2 until end of turn.,0.17,m12,0
2035,Jalum Tome,{3},3.0,{2}  {T}: Draw a card  then discard a card.,0.02,cmr,0
2036,Phyrexian Espionage,{2}{U},3.0,Kicker {1}{B} (You may pay an additional {1}{B} as you cast this spell.) Draw two cards. If this spell was kicked  each opponent discards a card.,0.02,dmu,0
2037,Crown of Ascension,{1}{U},2.0,Enchant creature Enchanted creature has flying. Sacrifice This Card: Enchanted creature and other creatures that share a creature type with it gain flying until end of turn.,0.1,ons,0
2038,Lotus Blossom,{2},2.0,At the beginning of your upkeep  you may put a petal counter on This Card. {T}  Sacrifice This Card: Add X mana of any one color  where X is the number of petal counters on This Card.,5.57,usg,2
2039,Sudden Storm,{3}{U},4.0,Tap up to two target creatures. Those creatures don't untap during their controllers' next untap steps. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),0.06,bng,0
2040,Careful Study,{U},1.0,Draw two cards  then discard two cards.,1.74,ody,0
2041,"Garruk, Unleashed",{2}{G}{G},4.0,"+1: Up to one target creature gets +3/+3 and gains trample until end of turn. −2: Create a 3/3 green Beast creature token. Then if an opponent controls more creatures than you  put a loyalty counter on This Card. −7: You get an emblem with ""At the beginning of your end step  you may search your library for a creature card  put it onto the battlefield  then shuffle.""",0.65,m21,3
2042,Barge In,{R},1.0,Target attacking creature gets +2/+2 until end of turn. Each attacking non-Human creature gains trample until end of turn.,0.04,eld,0
2043,Conflux,{3}{W}{U}{B}{R}{G},8.0,Search your library for a white card  a blue card  a black card  a red card  and a green card. Reveal those cards  put them into your hand  then shuffle.,4.71,a25,2
2044,Arctic Treeline,_,0.0,({T}: Add {G} or {W}.) This Card enters the battlefield tapped.,0.44,khm,0
2045,Urza's Tower,_,0.0,{T}: Add {C}. If you control an Urza's Mine and an Urza's Power-Plant  add {C}{C}{C} instead.,1.88,2xm,0
2046,Hall of the Bandit Lord,_,0.0,This Card enters the battlefield tapped. {T}  Pay 3 life: Add {C}. If that mana is spent on a creature spell  it gains haste.,12.04,chk,2
2047,Sporogenesis,{3}{G},4.0,At the beginning of your upkeep  you may put a fungus counter on target nontoken creature. Whenever a creature with a fungus counter on it dies  create a 1/1 green Saproling creature token for each fungus counter on that creature. When This Card leaves the battlefield  remove all fungus counters from all creatures.,2.89,usg,2
2048,True-Faith Censer,{2},2.0,Equipped creature gets +1/+1 and has vigilance. As long as equipped creature is a Human  it gets an additional +1/+0. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),0.08,soi,0
2049,Grim Feast,{1}{B}{G},3.0,At the beginning of your upkeep  This Card deals 1 damage to you. Whenever a creature is put into an opponent's graveyard from the battlefield  you gain life equal to its toughness.,5.42,mir,2
2050,Sarkhan's Rage,{4}{R},5.0,This Card deals 5 damage to any target. If you control no Dragons  This Card deals 2 damage to you.,0.06,jmp,0
2051,Solidarity of Heroes,{1}{G},2.0,Strive — This spell costs {1}{G} more to cast for each target beyond the first. Choose any number of target creatures. Double the number of +1/+1 counters on each of them.,0.94,cm2,1
2052,Disaster Radius,{5}{R}{R},7.0,As an additional cost to cast this spell  reveal a creature card from your hand. This Card deals X damage to each creature your opponents control  where X is the revealed card's mana value.,0.17,cm2,2
2053,Floating Shield,{2}{W},3.0,Enchant creature As This Card enters the battlefield  choose a color. Enchanted creature has protection from the chosen color. This effect doesn't remove This Card. Sacrifice This Card: Target creature gains protection from the chosen color until end of turn.,0.1,tor,0
2054,Fatal Frenzy,{2}{R},3.0,Until end of turn  target creature you control gains trample and gets +X/+0  where X is its power. Sacrifice it at the beginning of the next end step.,0.35,plc,2
2055,Possessed Portal,{8},8.0,If a player would draw a card  that player skips that draw instead. At the beginning of each end step  each player sacrifices a permanent unless they discard a card.,4.35,5dn,2
2056,Woodweaver's Puzzleknot,{2},2.0,When This Card enters the battlefield  you gain 3 life and get {E}{E}{E} (three energy counters). {2}{G}  Sacrifice This Card: You gain 3 life and get {E}{E}{E}.,0.04,kld,0
2057,Illusionist's Gambit,{2}{U}{U},4.0,Cast this spell only during the declare blockers step on an opponent's turn. Remove all attacking creatures from combat and untap them. After this phase  there is an additional combat phase. Each of those creatures attacks that combat if able. They can't attack you or planeswalkers you control that combat.,2.94,c13,2
2058,Fiery Justice,{R}{G}{W},3.0,This Card deals 5 damage divided as you choose among any number of targets. Target opponent gains 5 life.,0.1,2x2,2
2059,Hollow Trees,_,0.0,This Card enters the battlefield tapped. You may choose not to untap This Card during your untap step. At the beginning of your upkeep  if This Card is tapped  put a storage counter on it. {T}  Remove any number of storage counters from This Card: Add {G} for each storage counter removed this way.,0.79,5ed,2
2060,Haunting Voyage,{4}{B}{B},6.0,Choose a creature type. Return up to two creature cards of that type from your graveyard to the battlefield. If this spell was foretold  return all creature cards of that type from your graveyard to the battlefield instead. Foretell {5}{B}{B} (During your turn  you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.),4.38,khm,3
2061,Displace,{2}{U},3.0,Exile up to two target creatures you control  then return those cards to the battlefield under their owner's control.,0.41,emn,0
2062,Gremlin Mine,{1},1.0,{1}  {T}  Sacrifice This Card: It deals 4 damage to target artifact creature. {1}  {T}  Sacrifice This Card: Remove up to four charge counters from target noncreature artifact.,0.07,nph,0
2063,Cranial Extraction,{3}{B},4.0,Choose a nonland card name. Search target player's graveyard  hand  and library for all cards with that name and exile them. Then that player shuffles.,0.89,chk,2
2064,Molten Slagheap,_,0.0,{T}: Add {C}. {1}  {T}: Put a storage counter on This Card. {1}  Remove X storage counters from This Card: Add X mana in any combination of {B} and/or {R}.,0.07,tsr,1
2065,"Dakkon, Shadow Slayer",{W}{U}{B},3.0,This Card enters the battlefield with a number of loyalty counters on him equal to the number of lands you control. +1: Surveil 2. −3: Exile target creature. −6: You may put an artifact card from your hand or graveyard onto the battlefield.,0.67,mh2,3
2066,Launch the Fleet,{W},1.0,"Strive — This spell costs {1} more to cast for each target beyond the first. Until end of turn  any number of target creatures each gain ""Whenever this creature attacks  create a 1/1 white Soldier creature token that's tapped and attacking.""",0.57,jou,2
2067,Venarian Glimmer,{X}{U},1.0,Target player reveals their hand. You choose a nonland card with mana value X or less from it. That player discards that card.,0.09,plc,1
2068,Play of the Game,{6}{W}{W},8.0,Assist (Another player can pay up to {6} of this spell's cost.) Exile all nonland permanents.,0.28,bbd,2
2069,Aqueous Form,{U},1.0,Enchant creature Enchanted creature can't be blocked. Whenever enchanted creature attacks  scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),0.19,cmr,0
2070,Gale Force,{4}{G},5.0,This Card deals 5 damage to each creature with flying.,0.1,chk,1
2071,Crash the Party,{5}{G},6.0,Create a tapped 4/4 green Rhino Warrior creature token for each tapped creature you control.,0.18,ncc,2
2072,Curse of Bloodletting,{3}{R}{R},5.0,Enchant player If a source would deal damage to enchanted player  it deals double that damage to that player instead.,2.0,dka,2
2073,Skull Fracture,{B},1.0,Target player discards a card. Flashback {3}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.18,ody,1
2074,Mindstab,{5}{B},6.0,Target player discards three cards. Suspend 4—{B} (Rather than cast this card from your hand  you may pay {B} and exile it with four time counters on it. At the beginning of your upkeep  remove a time counter. When the last is removed  cast it without paying its mana cost.),0.01,tsr,0
2075,Test of Faith,{1}{W},2.0,Prevent the next 3 damage that would be dealt to target creature this turn. For each 1 damage prevented this way  put a +1/+1 counter on that creature.,0.09,mma,0
2076,Imprisoned in the Moon,{2}{U},3.0,"Enchant creature  land  or planeswalker Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",1.24,voc,2
2077,Monkey Cage,{5},5.0,When a creature enters the battlefield  sacrifice This Card and create X 2/2 green Monkey creature tokens  where X is that creature's mana value.,1.98,mmq,2
2078,Foreboding Fruit,{2}{B},3.0,"Target player draws two cards and loses 2 life. Adamant — If at least three black mana was spent to cast this spell  create a Food token. (It's an artifact with ""{2}  {T}  Sacrifice this artifact: You gain 3 life."")",0.07,eld,0
2079,Tyranid Invasion,{3}{G},4.0,Create a number of 3/3 green Tyranid Warrior creature tokens with trample equal to the number of opponents you have.,0.09,40k,1
2080,Builder's Blessing,{3}{W},4.0,Untapped creatures you control get +0/+2.,0.16,avr,1
2081,Insolence,{2}{R},3.0,Enchant creature Whenever enchanted creature becomes tapped  This Card deals 2 damage to that creature's controller.,0.1,pls,0
2082,Temple of Deceit,_,0.0,This Card enters the battlefield tapped. When This Card enters the battlefield  scry 1. {T}: Add {U} or {B}.,0.49,clb,2
2083,Geomancer's Gambit,{2}{R},3.0,Destroy target land. Its controller may search their library for a basic land card  put it onto the battlefield  then shuffle. Draw a card.,0.03,mh1,0
2084,Disorient,{3}{U},4.0,Target creature gets -7/-0 until end of turn.,0.04,m10,0
2085,Epiphany at the Drownyard,{X}{U},1.0,Reveal the top X plus one cards of your library and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.,0.46,soi,2
2086,Crucible of Worlds,{3},3.0,You may play lands from your graveyard.,19.91,2x2,3
2087,Delight in the Hunt,_,0.0,When you set this scheme in motion  create a 3/3 black Horror creature token and prevent all damage that would be dealt to creatures you control this turn.,0.59,oe01,0
2088,Duress,{B},1.0,Target opponent reveals their hand. You choose a noncreature  nonland card from it. That player discards that card.,0.05,mid,0
2089,Last Word,{2}{U}{U},4.0,This spell can't be countered. Counter target spell.,1.04,dst,2
