,name,mana_cost,cmc,oracle_text,power,toughness,prices,set,rarity
2750,Sisters of the Flame,{1}{R}{R},3.0,{T}: Add {R}.,2.0,2.0,0.10,4ed,0
2751,Razorfin Abolisher,{2}{U},3.0,{1}{U}  {T}: Return target creature with a counter on it to its owner's hand.,2.0,2.0,0.19,eve,1
2752,Nevermaker,{3}{U},4.0,Flying When This Card leaves the battlefield  put target nonland permanent on top of its owner's library. Evoke {3}{U} (You may cast this spell for its evoke cost. If you do  it's sacrificed when it enters the battlefield.),2.0,3.0,0.42,mor,1
2753,Emmara Tandris,{5}{G}{W},7.0,Prevent all damage that would be dealt to creature tokens you control.,5.0,7.0,0.17,c19,2
2754,Pixie Queen,{2}{G}{G},4.0,Flying {G}{G}{G}  {T}: Target creature gains flying until end of turn.,1.0,1.0,81.02,leg,2
2755,Sunder Shaman,{R}{R}{G}{G},4.0,This Card can't be blocked by more than one creature. Whenever This Card deals combat damage to a player  destroy target artifact or enchantment that player controls.,5.0,5.0,0.09,rna,1
2756,Naiad of Hidden Coves,{2}{U},3.0,As long as it's not your turn  spells you cast cost {1} less to cast.,2.0,3.0,0.07,thb,0
2757,Streetbreaker Wurm,{3}{R}{G},5.0,_,6.0,4.0,0.09,gpt,0
2758,Steadfast Sentinel,{3}{W},4.0,Vigilance Eternalize {4}{W}{W} ({4}{W}{W}  Exile this card from your graveyard: Create a token that's a copy of it  except it's a 4/4 black Zombie Human Cleric with no mana cost. Eternalize only as a sorcery.),2.0,3.0,0.01,hou,0
2759,Seraph of Dawn,{2}{W}{W},4.0,Flying  lifelink,2.0,4.0,0.04,cmr,0
2760,Kami of the Crescent Moon,{U}{U},2.0,At the beginning of each player's draw step  that player draws an additional card.,1.0,3.0,0.83,voc,2
2761,Storm Crow,_,0.0,Flying,1.0,2.0,0.07,tunf,0
2762,Patron of the Akki,{4}{R}{R},6.0,Goblin offering (You may cast this card any time you could cast an instant by sacrificing a Goblin and paying the difference in mana costs between this and the sacrificed Goblin. Mana cost includes color.) Whenever This Card attacks  creatures you control get +2/+0 until end of turn.,5.0,5.0,0.35,bok,2
2763,Archon of Falling Stars,{4}{W}{W},6.0,Flying When This Card dies  you may return target enchantment card from your graveyard to the battlefield.,4.0,4.0,0.04,thb,1
2764,Mistmeadow Witch,{1}{W/U},2.0,{2}{W}{U}: Exile target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.,1.0,1.0,0.06,2x2,1
2766,Sisters of Stone Death,{4}{B}{B}{G}{G},8.0,{G}: Target creature blocks This Card this turn if able. {B}{G}: Exile target creature blocking or blocked by This Card. {2}{B}: Put a creature card exiled with This Card onto the battlefield under your control.,7.0,5.0,1.06,rav,2
2767,Goblin Snowman,{3}{R},4.0,Whenever This Card blocks  prevent all combat damage that would be dealt to and dealt by it this turn. {T}: This Card deals 1 damage to target creature it's blocking.,1.0,1.0,0.26,tsb,5
2768,Skirsdag Flayer,{1}{B},2.0,{3}{B}  {T}  Sacrifice a Human: Destroy target creature.,1.0,1.0,0.10,dka,1
2769,Stormscape Battlemage,{2}{U},3.0,Kicker {W} and/or {2}{B} (You may pay an additional {W} and/or {2}{B} as you cast this spell.) When This Card enters the battlefield  if it was kicked with its {W} kicker  you gain 3 life. When This Card enters the battlefield  if it was kicked with its {2}{B} kicker  destroy target nonblack creature. That creature can't be regenerated.,2.0,2.0,0.07,c13,1
2770,Gray Merchant of Asphodel,{3}{B}{B},5.0,When This Card enters the battlefield  each opponent loses X life  where X is your devotion to black. You gain life equal to the life lost this way. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.),2.0,4.0,0.51,thb,1
2772,Huntmaster Liger,{3}{W},4.0,Mutate {2}{W} (If you cast this spell for its mutate cost  put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Whenever this creature mutates  other creatures you control get +X/+X until end of turn  where X is the number of times this creature has mutated.,3.0,4.0,0.08,iko,1
2773,Goblin Trailblazer,{1}{R},2.0,Menace (This creature can't be blocked except by two or more creatures.),2.0,1.0,0.02,cmr,0
2774,Delraich,{6}{B},7.0,You may sacrifice three black creatures rather than pay this spell's mana cost. Trample,6.0,6.0,0.96,mmq,2
2775,Chimney Imp,{4}{B},5.0,Flying When This Card dies  target opponent puts a card from their hand on top of their library.,1.0,2.0,0.08,mrd,0
2776,Venerable Kumo,{4}{G},5.0,Reach (This creature can block creatures with flying.) Soulshift 4 (When this creature dies  you may return target Spirit card with mana value 4 or less from your graveyard to your hand.),2.0,3.0,0.10,chk,0
2777,Fire Elemental,{3}{R}{R},5.0,_,5.0,4.0,0.01,m20,0
2778,Spiritmonger,{3}{B}{G},5.0,Whenever This Card deals damage to a creature  put a +1/+1 counter on This Card. {B}: Regenerate This Card. {G}: This Card becomes the color of your choice until end of turn.,6.0,6.0,0.17,ima,2
2779,"Felisa, Fang of Silverquill",{2}{W}{B},4.0,Flying Mentor (Whenever this creature attacks  put a +1/+1 counter on target attacking creature with lesser power.) Whenever a nontoken creature you control dies  if it had counters on it  create X tapped 2/1 white and black Inkling creature tokens with flying  where X is the number of counters it had on it.,3.0,2.0,0.34,clb,3
2780,Nadier's Nightblade,{2}{B},3.0,Whenever a token you control leaves the battlefield  each opponent loses 1 life and you gain 1 life.,1.0,3.0,1.46,cmr,1
2782,Sanguine Glorifier,{3}{W},4.0,When This Card enters the battlefield  put a +1/+1 counter on another target Vampire you control.,3.0,3.0,0.02,rix,0
2783,Turntimber Ranger,{3}{G}{G},5.0,Whenever This Card or another Ally enters the battlefield under your control  you may create a 2/2 green Wolf creature token. If you do  put a +1/+1 counter on This Card.,2.0,2.0,0.32,zen,2
2784,Veldrane of Sengir,{5}{B}{B},7.0,{1}{B}{B}: This Card gets -3/-0 and gains forestwalk until end of turn. (It can't be blocked as long as defending player controls a Forest.),5.0,5.0,1.04,hml,2
2785,Vampire Warlord,{4}{B},5.0,Sacrifice another creature: Regenerate This Card. (The next time this creature would be destroyed this turn  it isn't. Instead tap it  remove all damage from it  and remove it from combat.),4.0,2.0,0.08,m14,1
2786,Eager Construct,{2},2.0,When This Card enters the battlefield  each player may scry 1. (To scry 1  look at the top card of your library  then you may put that card on the bottom of your library.),2.0,2.0,0.02,2xm,0
2787,Paragon of Open Graves,{3}{B},4.0,Other black creatures you control get +1/+1. {2}{B}  {T}: Another target black creature you control gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.),2.0,2.0,0.24,m15,1
2788,Knight of the Reliquary,{1}{G}{W},3.0,This Card gets +1/+1 for each land card in your graveyard. {T}  Sacrifice a Forest or Plains: Search your library for a land card  put it onto the battlefield  then shuffle.,2.0,2.0,1.18,ima,2
2789,Exquisite Huntmaster,{3}{B},4.0,When This Card dies  create a 1/1 green Elf Warrior creature token. Encore {4}{B} ({4}{B}  Exile this card from your graveyard: For each opponent  create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.),4.0,2.0,0.02,cmr,0
2790,Sphinx of Jwar Isle,{4}{U}{U},6.0,Flying Shroud (This creature can't be the target of spells or abilities.) You may look at the top card of your library any time.,5.0,5.0,0.12,c18,2
2791,Humongulus,{4}{U},5.0,Hexproof (This creature can't be the target of spells or abilities your opponents control.),2.0,5.0,0.01,rna,0
2792,"Kaho, Minamo Historian",{2}{U}{U},4.0,When This Card enters the battlefield  search your library for up to three instant cards  exile them  then shuffle. {X}  {T}: You may cast a spell with mana value X from among cards exiled with Kaho without paying its mana cost.,2.0,2.0,2.26,sok,2
2793,Goblin Fireslinger,{R},1.0,{T}: This Card deals 1 damage to target player or planeswalker.,1.0,1.0,0.13,mm2,0
2794,Underworld Charger,{2}{B},3.0,This Card can't block. Escape—{4}{B}  Exile three other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.) This Card escapes with two +1/+1 counters on it.,3.0,3.0,0.02,thb,0
2795,Geode Rager,{4}{R}{R},6.0,First strike Landfall — Whenever a land enters the battlefield under your control  goad each creature target player controls. (Until your next turn  those creatures attack each combat if able and attack a player other than you if able.),4.0,3.0,0.27,clb,2
2796,Amrou Seekers,{2}{W},3.0,This Card can't be blocked except by artifact creatures and/or white creatures.,2.0,2.0,0.02,tsr,0
2798,Horizon Seed,{4}{W},5.0,Whenever you cast a Spirit or Arcane spell  regenerate target creature.,2.0,1.0,0.14,chk,1
2799,Eager Cadet,{W},1.0,_,1.0,1.0,0.23,9ed,0
2800,Monastery Mentor,{2}{W},3.0,Prowess (Whenever you cast a noncreature spell  this creature gets +1/+1 until end of turn.) Whenever you cast a noncreature spell  create a 1/1 white Monk creature token with prowess.,2.0,2.0,7.11,2x2,3
2801,Elder Gargaroth,{3}{G}{G},5.0,Vigilance  reach  trample Whenever This Card attacks or blocks  choose one — • Create a 3/3 green Beast creature token. • You gain 3 life. • Draw a card.,6.0,6.0,12.83,m21,3
2802,Charging Cinderhorn,{3}{R},4.0,Haste At the beginning of each player's end step  if no creatures attacked this turn  put a fury counter on This Card. Then This Card deals damage equal to the number of fury counters on it to that player.,4.0,2.0,0.26,c16,2
2803,Rampaging Monument,{4},4.0,Trample This Card enters the battlefield with three +1/+1 counters on it. Whenever you cast a multicolored spell  put a +1/+1 counter on This Card.,0.0,0.0,0.04,grn,1
2804,Bone Miser,{4}{B},5.0,Whenever you discard a creature card  create a 2/2 black Zombie creature token. Whenever you discard a land card  add {B}{B}. Whenever you discard a noncreature  nonland card  draw a card.,4.0,4.0,5.42,c19,2
2805,Goblin Warchief,{1}{R}{R},3.0,Goblin spells you cast cost {1} less to cast. Goblins you control have haste.,2.0,2.0,0.54,dom,1
2806,Domri's Nodorog,{3}{R}{G},5.0,Trample When This Card enters the battlefield  you may search your library and/or graveyard for a card named Domri  City Smasher  reveal it  and put it into your hand. If you search your library this way  shuffle.,5.0,2.0,0.19,rna,2
2807,Deadshot Minotaur,{3}{R}{G},5.0,When This Card enters the battlefield  it deals 3 damage to target creature with flying. Cycling {R/G} ({R/G}  Discard this card: Draw a card.),3.0,4.0,0.15,arb,0
2808,Pestilent Wolf,{1}{G},2.0,{2}{G}: This Card gains deathtouch until end of turn.,2.0,2.0,0.01,mid,0
2809,Magus of the Disk,{2}{W}{W},4.0,This Card enters the battlefield tapped. {1}  {T}: Destroy all artifacts  creatures  and enchantments.,2.0,4.0,0.20,c20,2
2810,Alley Grifters,{1}{B}{B},3.0,Whenever This Card becomes blocked  defending player discards a card.,2.0,2.0,0.12,mmq,0
2811,Spirit,_,0.0,_,2.0,2.0,0.78,twar,0
2812,Spike-Tailed Ceratops,{4}{G},5.0,This Card can block an additional creature each combat.,4.0,4.0,0.04,xln,0
2813,Empty-Shrine Kannushi,{W},1.0,This Card has protection from the colors of permanents you control.,1.0,1.0,0.23,bok,1
2814,Hunted Dragon,{3}{R}{R},5.0,Flying  haste When This Card enters the battlefield  target opponent creates three 2/2 white Knight creature tokens with first strike.,6.0,6.0,0.52,cm2,2
2815,Battle-Mad Ronin,{1}{R},2.0,Bushido 2 (Whenever this creature blocks or becomes blocked  it gets +2/+2 until end of turn.) This Card attacks each combat if able.,1.0,1.0,0.14,chk,0
2816,Jeskai Infiltrator,{2}{U},3.0,This Card can't be blocked as long as you control no other creatures. When This Card deals combat damage to a player  exile it and the top card of your library in a face-down pile  shuffle that pile  then manifest those cards. (To manifest a card  put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.),2.0,3.0,0.07,c18,2
2817,Balustrade Spy,{3}{B},4.0,Flying When This Card enters the battlefield  target player reveals cards from the top of their library until they reveal a land card  then puts those cards into their graveyard.,2.0,3.0,0.03,2x2,0
2818,Skull Prophet,{B}{G},2.0,{T}: Add {B} or {G}. {T}: Mill two cards.,3.0,1.0,0.64,iko,1
2819,Jolrael's Centaur,{1}{G}{G},3.0,Shroud (This creature can't be the target of spells or abilities.) Flanking (Whenever a creature without flanking blocks this creature  the blocking creature gets -1/-1 until end of turn.),2.0,2.0,0.13,mir,0
2820,Serra Redeemer,{3}{W}{W},5.0,Flying Whenever another creature with power 2 or less enters the battlefield under your control  put two +1/+1 counters on that creature.,2.0,4.0,0.37,dmu,2
2821,Emberwilde Augur,{1}{R},2.0,Sacrifice This Card: It deals 3 damage to target player or planeswalker. Activate only during your upkeep.,2.0,1.0,0.04,evg,0
2822,Barbary Apes,{1}{G},2.0,_,2.0,2.0,2.25,leg,0
2823,Keeper of the Nine Gales,{2}{U},3.0,Flying {T}  Tap two untapped Birds you control: Return target permanent to its owner's hand.,1.0,2.0,0.28,lgn,2
2824,Shaman of the Pack,{1}{B}{G},3.0,When This Card enters the battlefield  target opponent loses life equal to the number of Elves you control.,3.0,2.0,0.52,khc,1
2825,Spawn of Rix Maadi,{3}{B}{R},5.0,Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.),5.0,3.0,0.05,rtr,0
2826,Black Poplar Shaman,{2}{B},3.0,{2}{B}: Regenerate target Treefolk.,1.0,3.0,0.18,lrw,0
2827,Bassara Tower Archer,{G}{G},2.0,Hexproof  reach,2.0,1.0,0.22,jou,1
2828,Soltari Crusader,{2}{W},3.0,Shadow (This creature can block or be blocked by only creatures with shadow.) {1}{W}: This Card gets +1/+0 until end of turn.,2.0,1.0,0.25,tmp,1
2829,Thornmantle Striker,{4}{B},5.0,When This Card enters the battlefield  choose one — • Remove X counters from target permanent  where X is the number of Elves you control. • Target creature an opponent controls gets -X/-X until end of turn  where X is the number of Elves you control.,4.0,3.0,0.05,khm,1
2830,Celebrity Fencer,{3}{W},4.0,Alliance — Whenever another creature enters the battlefield under your control  put a +1/+1 counter on This Card.,3.0,2.0,0.01,snc,0
2831,Bala Ged Thief,{3}{B},4.0,Whenever This Card or another Ally enters the battlefield under your control  target player reveals a number of cards from their hand equal to the number of Allies you control. You choose one of them. That player discards that card.,2.0,2.0,0.19,zen,2
2832,Orcish Librarian,{1}{R},2.0,{R}  {T}: Look at the top eight cards of your library. Exile four of them at random  then put the rest on top of your library in any order.,1.0,1.0,0.25,tsb,5
2833,Syndicate Enforcer,{3}{B},4.0,Extort (Whenever you cast a spell  you may pay {W/B}. If you do  each opponent loses 1 life and you gain that much life.),3.0,2.0,0.08,gtc,0
2834,Disciple of Tevesh Szat,{2}{B}{B},4.0,{T}: Target creature gets -1/-1 until end of turn. {4}{B}{B}  {T}  Sacrifice This Card: Target creature gets -6/-6 until end of turn.,3.0,1.0,0.10,csp,0
2835,Empyrial Archangel,{4}{G}{W}{W}{U},8.0,Flying Shroud (This creature can't be the target of spells or abilities.) All damage that would be dealt to you is dealt to This Card instead.,5.0,8.0,0.20,2x2,2
2836,Spined Megalodon,{5}{U}{U},7.0,Hexproof (This creature can't be the target of spells or abilities your opponents control.) Whenever This Card attacks  scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),5.0,7.0,0.03,m21,0
2837,Master of Death,{1}{U}{B},3.0,When This Card enters the battlefield  surveil 2. At the beginning of your upkeep  if This Card is in your graveyard  you may pay 1 life. If you do  return it to your hand.,3.0,1.0,0.19,mh2,2
2838,Priest of Titania,{1}{G},2.0,{T}: Add {G} for each Elf on the battlefield.,1.0,1.0,7.61,cma,0
2839,Waker of Waves,{5}{U}{U},7.0,Creatures your opponents control get -1/-0. {1}{U}  Discard This Card: Look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.,7.0,7.0,0.22,m21,1
2840,Benalish Commander,{3}{W},4.0,This Card's power and toughness are each equal to the number of Soldiers you control. Suspend X—{X}{W}{W}. X can't be 0. Whenever a time counter is removed from This Card while it's exiled  create a 1/1 white Soldier creature token.,4.0,4.0,0.22,tsr,2
2841,Haazda Marshal,{W},1.0,Whenever This Card and at least two other creatures attack  create a 1/1 white Soldier creature token with lifelink.,1.0,1.0,0.12,grn,1
2842,Wall of Roots,{1}{G},2.0,Defender Put a -0/-1 counter on This Card: Add {G}. Activate only once each turn.,0.0,5.0,0.33,ncc,0
2843,Lord of the Forsaken,{4}{B}{B},6.0,Flying  trample {B}  Sacrifice another creature: Target player mills three cards. Pay 1 life: Add {C}. Spend this mana only to cast a spell from your graveyard.,6.0,6.0,0.58,mid,3
2844,Deathspore Thallid,{1}{B},2.0,At the beginning of your upkeep  put a spore counter on This Card. Remove three spore counters from This Card: Create a 1/1 green Saproling creature token. Sacrifice a Saproling: Target creature gets -1/-1 until end of turn.,1.0,1.0,0.08,tsr,0
2845,Fog Bank,{1}{U},2.0,Defender  flying Prevent all combat damage that would be dealt to and dealt by This Card.,0.0,2.0,0.26,bbd,1
2846,Putrefax,{3}{G}{G},5.0,Trample  haste Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) At the beginning of the end step  sacrifice This Card.,5.0,3.0,0.44,som,2
2847,Malakir Blood-Priest,{1}{B},2.0,When This Card enters the battlefield  each opponent loses X life and you gain X life  where X is the number of creatures in your party. (Your party consists of up to one each of Cleric  Rogue  Warrior  and Wizard.),2.0,1.0,0.07,clb,0
2848,Mukotai Ambusher,{3}{B},4.0,Ninjutsu {1}{B} ({1}{B}  Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.) Lifelink,3.0,2.0,0.04,neo,0
2849,Llanowar Dead,{B}{G},2.0,{T}: Add {B}.,2.0,2.0,0.23,apc,0
2850,Nimbus Champion,{5}{U},6.0,Flying Whenever This Card attacks  you may return target creature to its owner's hand if that creature's power is less than or equal to the number of Warriors your team controls.,4.0,4.0,0.09,bbd,1
2851,Capricopian,{X}{G},1.0,This Card enters the battlefield with X +1/+1 counters on it. {2}: Put a +1/+1 counter on This Card  then you may reselect which player This Card is attacking. Only the player This Card is attacking may activate this ability and only during the declare attackers step. (It can't attack its controller.),0.0,0.0,0.25,c20,2
2852,Shadowmage Infiltrator,{1}{U}{B},3.0,Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) Whenever This Card deals combat damage to a player  you may draw a card.,1.0,3.0,0.13,ncc,2
2854,Feral Ridgewolf,{2}{R},3.0,Trample {1}{R}: This Card gets +2/+0 until end of turn.,1.0,2.0,0.09,isd,0
2855,Night Market Guard,{3},3.0,This Card can block an additional creature each combat.,3.0,1.0,0.02,bbd,0
2856,Balduvian Berserker,{2}{R},3.0,Enlist (As this creature attacks  you may tap a nonattacking creature you control without summoning sickness. When you do  add its power to this creature's until end of turn.) When This Card dies  it deals damage equal to its power to any target.,1.0,3.0,0.04,dmu,1
2857,Kird Chieftain,{3}{R},4.0,This Card gets +1/+1 as long as you control a Forest. {4}{G}: Target creature gets +2/+2 and gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.),3.0,3.0,0.10,m15,1
2858,Spirit of the Hunt,{1}{G}{G},3.0,Flash When This Card enters the battlefield  each other creature you control that's a Wolf or a Werewolf gets +0/+3 until end of turn.,3.0,3.0,0.30,emn,2
2859,Cinder Giant,{3}{R},4.0,At the beginning of your upkeep  This Card deals 2 damage to each other creature you control.,5.0,3.0,0.24,wth,1
2861,Sawtooth Thresher,{6},6.0,Sunburst (This enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.) Remove two +1/+1 counters from This Card: This Card gets +4/+4 until end of turn.,1.0,1.0,0.03,5dn,0
2862,Ornithopter of Paradise,{2},2.0,Flying {T}: Add one mana of any color.,0.0,2.0,0.39,mh2,0
2863,Lavastep Raider,{R},1.0,{2}{R}: This Card gets +2/+0 until end of turn.,1.0,2.0,0.02,bfz,0
2864,Terrain Elemental,{1}{G},2.0,_,3.0,2.0,0.12,kld,0
2865,Icatian Priest,{W},1.0,{1}{W}{W}: Target creature gets +1/+1 until end of turn.,1.0,1.0,0.10,dvd,1
2866,Pink Horror,{3}{U}{R},5.0,"Coruscating Flames — Whenever you cast an instant or sorcery spell  This Card deals 2 damage to any target. Split — When This Card dies  create two 2/2 blue and red Demon Horror creature tokens named Blue Horror with ""Whenever you cast an instant or sorcery spell  this creature deals 1 damage to any target.""",4.0,4.0,1.91,40k,2
2867,Keepsake Gorgon,{3}{B}{B},5.0,Deathtouch {5}{B}{B}: Monstrosity 1. (If this creature isn't monstrous  put a +1/+1 counter on it and it becomes monstrous.) When This Card becomes monstrous  destroy target non-Gorgon creature an opponent controls.,2.0,5.0,0.09,cn2,1
2868,Dauthi Trapper,{2}{B},3.0,{T}: Target creature gains shadow until end of turn. (It can block or be blocked by only creatures with shadow.),1.0,1.0,0.30,sth,1
2869,Companion of the Trials,{2}{W},3.0,Flying {1}{W}: Untap target creature. Activate only if you control a Gideon planeswalker.,2.0,2.0,0.15,akh,1
2870,Halimar Tidecaller,{2}{U},3.0,When This Card enters the battlefield  you may return target card with awaken from your graveyard to your hand. Land creatures you control have flying.,2.0,3.0,0.07,bfz,1
2871,Drumhunter,{3}{G},4.0,At the beginning of your end step  if you control a creature with power 5 or greater  you may draw a card. {T}: Add {C}.,2.0,2.0,0.45,c13,1
2872,"Mannichi, the Fevered Dream",{2}{R},3.0,{1}{R}: Switch each creature's power and toughness until end of turn.,1.0,2.0,0.34,bok,2
2873,Duergar Mine-Captain,{2}{R/W},3.0,{1}{R/W}  {Q}: Attacking creatures get +1/+0 until end of turn. ({Q} is the untap symbol.),2.0,1.0,0.20,eve,1
2874,Champion's Drake,{1}{U},2.0,Flying This Card gets +3/+3 as long as you control a creature with three or more level counters on it.,1.0,1.0,0.07,roe,0
2875,Jötun Owl Keeper,{2}{W},3.0,Cumulative upkeep {W} or {U} (At the beginning of your upkeep  put an age counter on this permanent  then sacrifice it unless you pay its upkeep cost for each age counter on it.) When This Card dies  create a 1/1 white Bird creature token with flying for each age counter on it.,3.0,3.0,0.18,csp,1
2876,Defiler of Flesh,{2}{B}{B},4.0,Menace As an additional cost to cast black permanent spells  you may pay 2 life. Those spells cost {B} less to cast if you paid life this way. This effect reduces only the amount of black mana you pay. Whenever you cast a black permanent spell  target creature you control gets +1/+1 and gains menace until end of turn.,4.0,4.0,0.59,dmu,2
2877,Horror,_,0.0,_,3.0,3.0,0.10,te01,0
2878,Lightning Visionary,{1}{R},2.0,Prowess (Whenever you cast a noncreature spell  this creature gets +1/+1 until end of turn.),2.0,1.0,0.02,jmp,0
2879,Ethereal Usher,{5}{U},6.0,{U}  {T}: Target creature can't be blocked this turn. Transmute {1}{U}{U} ({1}{U}{U}  Discard this card: Search your library for a card with the same mana value as this card  reveal it  put it into your hand  then shuffle. Transmute only as a sorcery.),2.0,3.0,0.19,rav,1
2880,Satyr Nyx-Smith,{2}{R},3.0,Haste Inspired — Whenever This Card becomes untapped  you may pay {2}{R}. If you do  create a 3/1 red Elemental enchantment creature token with haste.,2.0,1.0,0.09,bng,1
2881,Woe Strider,{2}{B},3.0,When This Card enters the battlefield  create a 0/1 white Goat creature token. Sacrifice another creature: Scry 1. Escape—{3}{B}{B}  Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.) This Card escapes with two +1/+1 counters on it.,3.0,2.0,0.30,clb,2
2882,"Kwende, Pride of Femeref",{3}{W},4.0,Double strike Creatures you control with first strike have double strike.,2.0,2.0,0.08,dom,1
2883,"Drana, the Last Bloodchief",{3}{B}{B},5.0,Flying Whenever This Card attacks  defending player chooses a nonlegendary creature card in your graveyard. You return that card to the battlefield with an additional +1/+1 counter on it. The creature is a Vampire in addition to its other types.,4.0,4.0,3.16,znr,3
2884,Cetavolver,{1}{U},2.0,Kicker {1}{R} and/or {G} (You may pay an additional {1}{R} and/or {G} as you cast this spell.) If This Card was kicked with its {1}{R} kicker  it enters the battlefield with two +1/+1 counters on it and with first strike. If This Card was kicked with its {G} kicker  it enters the battlefield with a +1/+1 counter on it and with trample.,1.0,1.0,0.23,apc,2
2885,Zirilan of the Claw,{3}{R}{R},5.0,{1}{R}{R}  {T}: Search your library for a Dragon permanent card  put that card onto the battlefield  then shuffle. That Dragon gains haste until end of turn. Exile it at the beginning of the next end step.,3.0,4.0,23.77,mir,2
2886,Rapacious One,{5}{R},6.0,"Trample Whenever This Card deals combat damage to a player  create that many 0/1 colorless Eldrazi Spawn creature tokens. They have ""Sacrifice this creature: Add {C}.""",5.0,4.0,0.27,cmd,1
2887,Weirded Vampire,{3}{B},4.0,Madness {2}{B} (If you discard this card  discard it into exile. When you do  cast it for its madness cost or put it into your graveyard.),3.0,3.0,0.06,emn,0
2888,Autonomous Assembler,{5},5.0,Prototype {1}{W} — 2/2 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) Vigilance {1}  {T}: Put a +1/+1 counter on target Assembly-Worker you control.,4.0,5.0,0.18,bro,2
2889,Oakhame Adversary,{3}{G},4.0,This spell costs {2} less to cast if an opponent controls a green permanent. Deathtouch Whenever This Card deals combat damage to a player  draw a card.,2.0,3.0,0.26,eld,1
2890,Shivan Sand-Mage,{2}{R}{R},4.0,When This Card enters the battlefield  choose one — • Remove two time counters from target permanent or suspended card. • Put two time counters on target permanent with a time counter on it or suspended card. Suspend 4—{R},3.0,2.0,0.04,tsr,1
2891,"Hanna, Ship's Navigator",{1}{W}{U},3.0,{1}{W}{U}  {T}: Return target artifact or enchantment card from your graveyard to your hand.,1.0,2.0,0.20,nec,2
2892,God-Eternal Oketra,{3}{W}{W},5.0,Double strike Whenever you cast a creature spell  create a 4/4 black Zombie Warrior creature token with vigilance. When This Card dies or is put into exile from the battlefield  you may put it into its owner's library third from the top.,3.0,6.0,7.80,war,3
2893,Kazuul's Toll Collector,{2}{R},3.0,{0}: Attach target Equipment you control to This Card. Activate only as a sorcery.,3.0,2.0,0.10,2xm,0
2894,Gatebreaker Ram,{2}{G},3.0,This Card gets +1/+1 for each Gate you control. As long as you control two or more Gates  This Card has vigilance and trample.,2.0,2.0,0.29,rna,1
2895,Swirling Spriggan,{2}{G}{G},4.0,{G/U}{G/U}: Target creature you control becomes the color or colors of your choice until end of turn.,3.0,3.0,0.13,eve,1
2896,Deathbellow Raider,{1}{R},2.0,This Card attacks each combat if able. {2}{B}: Regenerate This Card.,2.0,3.0,0.05,ths,0
2897,Viral Drake,{3}{U},4.0,Flying Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) {3}{U}: Proliferate. (Choose any number of permanents and/or players  then give each another counter of each kind already there.),1.0,4.0,2.08,nph,1
2898,Ghalma's Warden,{3}{W},4.0,Metalcraft — This Card gets +2/+2 as long as you control three or more artifacts.,2.0,4.0,0.07,som,0
2899,Gatherer of Graces,{1}{G},2.0,This Card gets +1/+1 for each Aura attached to it. Sacrifice an Aura: Regenerate This Card.,1.0,2.0,0.15,gpt,1
2900,"Torsten, Founder of Benalia",{5}{G}{W},7.0,When This Card enters the battlefield  reveal the top seven cards of your library. Put any number of creature and/or land cards from among them into your hand and the rest on the bottom of your library in a random order. When Torsten dies  create seven 1/1 white Soldier creature tokens.,7.0,7.0,0.90,dmc,3
2901,Hornet Queen,{4}{G}{G}{G},7.0,Flying Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.) When This Card enters the battlefield  create four 1/1 green Insect creature tokens with flying and deathtouch.,2.0,2.0,0.28,clb,2
2902,Tempting Licid,{2}{G},3.0,{G}  {T}: This Card loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {G} to end this effect. All creatures able to block enchanted creature do so.,2.0,2.0,0.26,sth,1
2903,Wild Elephant,{3}{G},4.0,Trample,3.0,3.0,0.08,mir,0
2904,Deepwood Tantiv,{4}{G},5.0,Whenever This Card becomes blocked  you gain 2 life.,2.0,4.0,0.23,mmq,1
2905,Thunderwolf Cavalry,{4}{W},5.0,First strike Crushing Teeth — Whenever This Card deals combat damage to a player  put a +1/+1 counter on each other creature you control.,4.0,4.0,0.12,40k,1
2906,Keeper of the Cadence,{4}{U},5.0,{3}: Put target artifact  instant  or sorcery card from a graveyard on the bottom of its owner's library.,2.0,5.0,0.12,bro,1
