,name,mana_cost,cmc,oracle_text,prices,set
544,Starke,_,0.0,At the beginning of your draw step  you may draw an additional card. If you do  put a card from your hand on the bottom of your library.,24.99,pvan
545,Thorn of Amethyst,{2},2.0,Noncreature spells cost {1} more to cast.,26.46,lrw
546,Dark Tutelage,{2}{B},3.0,At the beginning of your upkeep  reveal the top card of your library and put that card into your hand. You lose life equal to its mana value.,0.54,m11
547,Corrupted Roots,{B},1.0,Enchant Forest or Plains Whenever enchanted land becomes tapped  its controller loses 2 life.,0.28,con
548,The Wandering Emperor,{2}{W}{W},4.0,Flash As long as This Card entered the battlefield this turn  you may activate her loyalty abilities any time you could cast an instant. +1: Put a +1/+1 counter on up to one target creature. It gains first strike until end of turn. −1: Create a 2/2 white Samurai creature token with vigilance. −2: Exile target tapped creature. You gain 2 life.,23.43,neo
549,Gemstone Mine,_,0.0,This Card enters the battlefield with three mining counters on it. {T}  Remove a mining counter from This Card: Add one mana of any color. If there are no mining counters on This Card  sacrifice it.,6.38,tsb
550,Fabled Passage,_,0.0,{T}  Sacrifice This Card: Search your library for a basic land card  put it onto the battlefield tapped  then shuffle. Then if you control four or more lands  untap that land.,4.47,m21
551,Flurry of Horns,{4}{R},5.0,Create two 2/3 red Minotaur creature tokens with haste.,0.06,jmp
552,Dire Tactics,{W}{B},2.0,Exile target creature. If you don't control a Human  you lose life equal to that creature's toughness.,0.11,iko
553,Hold for Ransom,{1}{W},2.0,"Enchant creature Enchanted creature can't attack or block and has ""{7}: This Card's controller sacrifices it and draws a card. Activate only as a sorcery.""",0.01,snc
554,Bone Splinters,{B},1.0,As an additional cost to cast this spell  sacrifice a creature. Destroy target creature.,0.02,dmu
555,Telim'Tor's Darts,{2},2.0,{2}  {T}: This Card deals 1 damage to target player or planeswalker.,0.16,mir
556,Karn Liberated,{7},7.0,+4: Target player exiles a card from their hand. −3: Exile target permanent. −14: Restart the game  leaving in exile all non-Aura permanent cards exiled with This Card. Then put those cards onto the battlefield under your control.,20.98,2xm
557,Mystic Barrier,{4}{W},5.0,When This Card enters the battlefield or at the beginning of your upkeep  choose left or right. Each player may attack only the nearest opponent in the last chosen direction and planeswalkers controlled by that opponent.,0.88,c13
558,Honden of Infinite Rage,{2}{R},3.0,At the beginning of your upkeep  This Card deals damage to any target equal to the number of Shrines you control.,1.05,ema
559,Culling Mark,{2}{G},3.0,Target creature blocks this turn if able.,0.04,bng
560,Bone Harvest,{2}{B},3.0,Put any number of target creature cards from your graveyard on top of your library. Draw a card at the beginning of the next turn's upkeep.,0.24,mir
561,Dragon Mantle,{R},1.0,"Enchant creature When This Card enters the battlefield  draw a card. Enchanted creature has ""{R}: This creature gets +1/+0 until end of turn.""",0.04,cmr
562,Stroke of Genius,{X}{2}{U},3.0,Target player draws X cards.,3.08,c15
563,Inferno Fist,{1}{R},2.0,Enchant creature you control Enchanted creature gets +2/+0. {R}  Sacrifice This Card: This Card deals 2 damage to any target.,0.07,m15
564,Titanic Ultimatum,{R}{R}{G}{G}{G}{W}{W},7.0,Until end of turn  creatures you control get +5/+5 and gain first strike  trample  and lifelink.,1.94,ddh
565,Kill Switch,{3},3.0,{2}  {T}: Tap all other artifacts. They don't untap during their controllers' untap steps for as long as This Card remains tapped.,0.77,nem
566,Ethereal Haze,{W},1.0,Prevent all damage that would be dealt by creatures this turn.,0.23,chk
567,Aegis of the Meek,{3},3.0,{1}  {T}: Target 1/1 creature gets +1/+2 until end of turn.,1.02,ice
568,Soaring Hope,{4}{W},5.0,Enchant creature When This Card enters the battlefield  you gain 3 life. Enchanted creature has flying. {W}: Put This Card on top of its owner's library.,0.08,lrw
569,Nothing Can Stop Me Now,_,0.0,(An ongoing scheme remains face up until it's abandoned.) If a source an opponent controls would deal damage to you  prevent 1 of that damage. At the beginning of each end step  if you've been dealt 5 or more damage this turn  abandon this scheme.,15.97,oarc
570,Vraska the Unseen,{3}{B}{G},5.0,"+1: Until your next turn  whenever a creature deals combat damage to This Card  destroy that creature. −3: Destroy target nonland permanent. −7: Create three 1/1 black Assassin creature tokens with ""Whenever this creature deals combat damage to a player  that player loses the game.""",0.58,c19
571,Deadly Alliance,{4}{B},5.0,This spell costs {1} less to cast for each creature in your party. (Your party consists of up to one each of Cleric  Rogue  Warrior  and Wizard.) Destroy target creature or planeswalker.,0.05,znr
572,Opal Champion,{2}{W},3.0,When an opponent casts a creature spell  if This Card is an enchantment  This Card becomes a 3/3 Knight creature with first strike.,0.12,ulg
573,Triumphant Reckoning,{6}{W}{W}{W},9.0,Return all artifact  enchantment  and planeswalker cards from your graveyard to the battlefield.,0.57,cmr
574,Insubordination,{B}{B},2.0,Enchant creature At the beginning of the end step of enchanted creature's controller  This Card deals 2 damage to that player unless that creature attacked this turn.,0.12,mmq
575,Urza Assembles the Titans,{3}{W}{W},5.0,Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don't trigger. Sacrifice after III.) I — Scry 4  then you may reveal the top card of your library. If a planeswalker card is revealed this way  put it into your hand. II — You may put a planeswalker card with mana value 6 or less from your hand onto the battlefield. III — You may activate the loyalty abilities of planeswalkers you control twice this turn rather than only once.,0.32,dmu
576,Traverse the Outlands,{4}{G},5.0,Search your library for up to X basic land cards  where X is the greatest power among creatures you control. Put those cards onto the battlefield tapped  then shuffle.,0.81,clb
577,Essence Pulse,{3}{B},4.0,You gain 2 life. Each creature gets -X/-X until end of turn  where X is the amount of life you gained this turn.,0.19,c21
578,Teferi's Protection,{2}{W},3.0,Until your next turn  your life total can't change and you gain protection from everything. All permanents you control phase out. (While they're phased out  they're treated as though they don't exist. They phase in before you untap during your untap step.) Exile This Card.,18.97,2x2
579,Return to the Ranks,{X}{W}{W},2.0,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Return X target creature cards with mana value 2 or less from your graveyard to the battlefield.,1.74,m15
580,Cursed Land,{2}{B}{B},4.0,Enchant land At the beginning of the upkeep of enchanted land's controller  This Card deals 1 damage to that player.,0.21,5ed
581,Fasting,{W},1.0,At the beginning of your upkeep  put a hunger counter on This Card. Then destroy This Card if it has five or more hunger counters on it. If you would begin your draw step  you may skip that step instead. If you do  you gain 2 life. When you draw a card  destroy This Card.,0.89,drk
582,Gallows at Willow Hill,{3},3.0,{3}  {T}  Tap three untapped Humans you control: Destroy target creature. Its controller creates a 1/1 white Spirit creature token with flying.,0.21,avr
583,Green Sun's Zenith,{X}{G},1.0,Search your library for a green creature card with mana value X or less  put it onto the battlefield  then shuffle. Shuffle This Card into its owner's library.,8.34,2x2
584,Grasp of Phantoms,{3}{U},4.0,Put target creature on top of its owner's library. Flashback {7}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.10,mm3
585,Graven Lore,{3}{U}{U},5.0,Scry X  where X is the amount of {S} spent to cast this spell  then draw three cards. ({S} is mana from a snow source.),0.18,khm
586,Lunarch Mantle,{1}{W},2.0,"Enchant creature Enchanted creature gets +2/+2 and has ""{1}  Sacrifice a permanent: This creature gains flying until end of turn.""",0.03,a25
587,Trigon of Corruption,{4},4.0,This Card enters the battlefield with three charge counters on it. {B}{B}  {T}: Put a charge counter on This Card. {2}  {T}  Remove a charge counter from This Card: Put a -1/-1 counter on target creature.,0.10,som
588,Wildfire,{4}{R}{R},6.0,Each player sacrifices four lands. This Card deals 4 damage to each creature.,0.50,mm2
589,Drill Bit,{2}{B},3.0,Spectacle {B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.) Target player reveals their hand. You choose a nonland card from it. That player discards that card.,0.13,rna
590,Marshaling Cry,{1}{W}{W},3.0,Creatures you control get +1/+1 and gain vigilance until end of turn. Cycling {2} ({2}  Discard this card: Draw a card.) Flashback {3}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.15,fut
591,Patrician's Scorn,{3}{W},4.0,If you've cast another white spell this turn  you may cast this spell without paying its mana cost. Destroy all enchantments.,0.25,fut
592,Turbo-Thwacking Auto-Hammer,_,0.0,Whenever you crank This Card  target creature gains double strike until end of turn.,0.23,ust
593,Roots,{3}{G},4.0,Enchant creature without flying When This Card enters the battlefield  tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step.,0.06,ema
594,Bile Blight,{B}{B},2.0,Target creature and all other creatures with the same name as that creature get -3/-3 until end of turn.,0.14,bng
595,Conflagrate,{X}{X}{R},1.0,This Card deals X damage divided as you choose among any number of targets. Flashback—{R}{R}  Discard X cards. (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.06,tsr
596,Fireforger's Puzzleknot,{2},2.0,When This Card enters the battlefield  it deals 1 damage to any target. {2}{R}  Sacrifice This Card: It deals 1 damage to any target.,0.02,kld
597,Defiling Tears,{2}{B},3.0,"Until end of turn  target creature becomes black  gets +1/-1  and gains ""{B}: Regenerate this creature.""",0.16,inv
598,Truth or Dare,{1}{U}{U},3.0,Target opponent chooses one — • Truth — That player plays with their hand revealed for the rest of the game. • Dare — Mill all but the bottom ten cards of that player's library. (To mill  put the top card of that library into its owner's graveyard.),0.60,cmb2
599,Nature's Revolt,{3}{G}{G},5.0,All lands are 2/2 creatures that are still lands.,3.94,7ed
600,Trail of Mystery,{1}{G},2.0,Whenever a face-down creature enters the battlefield under your control  you may search your library for a basic land card  reveal it  put it into your hand  then shuffle. Whenever a permanent you control is turned face up  if it's a creature  it gets +2/+2 until end of turn.,0.08,c19
601,Tunnel Vision,{5}{U},6.0,Choose a card name. Target player reveals cards from the top of their library until a card with that name is revealed. If it is  that player puts the rest of the revealed cards into their graveyard and puts the card with the chosen name on top of their library. Otherwise  the player shuffles.,3.13,rav
602,Ethereal Guidance,{2}{W},3.0,Creatures you control get +2/+1 until end of turn.,0.03,soi
603,Dreamstone Hedron,{6},6.0,{T}: Add {C}{C}{C}. {3}  {T}  Sacrifice This Card: Draw three cards.,0.24,cmr
604,Rebellion of the Flamekin,{3}{R},4.0,Whenever you clash  you may pay {1}. If you do  create a 3/1 red Elemental Shaman creature token. If you won  that token gains haste until end of turn. (This ability triggers after the clash ends.),0.08,lrw
605,Eureka Moment,{2}{G}{U},4.0,Draw two cards. You may put a land card from your hand onto the battlefield.,0.11,stx
606,Flawless Forgery,{3}{U}{U},5.0,Casualty 3 (As you cast this spell  you may sacrifice a creature with power 3 or greater. When you do  copy this spell and you may choose a new target for the copy.) Exile target instant or sorcery card from an opponent's graveyard. Copy that card. You may cast the copy without paying its mana cost.,0.13,ncc
607,Lash of the Tyrant,_,0.0,Equipped creature gets +1/+2 and has deathtouch. Equip {2},12.26,thp3
608,Talon of Pain,{4},4.0,Whenever a source you control other than This Card deals damage to an opponent  put a charge counter on This Card. {X}  {T}  Remove X charge counters from This Card: It deals X damage to any target.,0.09,dst
609,Muzzio's Preparations,_,0.0,Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Each creature you control with the chosen name enters the battlefield with an additional +1/+1 counter on it.,0.10,cns
610,Cached Defenses,{2}{G},3.0,Bolster 3. (Choose a creature with the least toughness among creatures you control and put three +1/+1 counters on it.),0.07,frf
611,Savage Hunger,{2}{G},3.0,Enchant creature Enchanted creature gets +1/+0 and has trample. Cycling {2} ({2}  Discard this card: Draw a card.),0.05,ala
612,Over My Dead Bodies,{4}{B}{B},6.0,Creature cards in graveyards can attack and block as though they were on the battlefield  can block or be blocked only by creature cards in graveyards  are Zombies in addition to their other types  and have undeathtouch. (If they would deal damage to a creature card  exile that creature card instead.) Creature cards in your graveyard have haste.,0.29,ust
613,Boxing Ring,{1}{G},2.0,Whenever a creature enters the battlefield under your control  it fights up to one target creature you don't control with the same mana value. {T}: Create a Treasure token. Activate only if you control a creature that fought this turn.,0.39,ncc
614,Tectonic Instability,{2}{R},3.0,Whenever a land enters the battlefield  tap all lands its controller controls.,3.20,inv
615,Blood of the Martyr,{W}{W}{W},3.0,Until end of turn  if damage would be dealt to any creature  you may have that damage dealt to you instead.,0.15,chr
616,Fists of the Demigod,{1}{B/R},2.0,Enchant creature As long as enchanted creature is black  it gets +1/+1 and has wither. (It deals damage to creatures in the form of -1/-1 counters.) As long as enchanted creature is red  it gets +1/+1 and has first strike.,0.25,shm
617,Steel Sabotage,{U},1.0,Choose one — • Counter target artifact spell. • Return target artifact to its owner's hand.,0.04,2xm
618,Hanweir Battlements,_,0.0,{T}: Add {C}. {R}  {T}: Target creature gains haste until end of turn. {3}{R}{R}  {T}: If you both own and control This Card and a creature named Hanweir Garrison  exile them  then meld them into Hanweir  the Writhing Township.,4.08,emn
619,Telim'Tor's Edict,{R},1.0,Exile target permanent you own or control. Draw a card at the beginning of the next turn's upkeep.,2.00,mir
620,Exhaustion,{2}{U},3.0,Creatures and lands target opponent controls don't untap during their next untap step.,0.41,9ed
621,Quicksilver Fountain,{3},3.0,At the beginning of each player's upkeep  that player puts a flood counter on target non-Island land they control of their choice. That land is an Island for as long as it has a flood counter on it. At the beginning of each end step  if all lands on the battlefield are Islands  remove all flood counters from them.,3.05,mrd
622,Strands of Night,{2}{B}{B},4.0,{B}{B}  Pay 2 life  Sacrifice a Swamp: Return target creature card from your graveyard to the battlefield.,0.68,7ed
623,Unflinching Courage,{1}{G}{W},3.0,Enchant creature Enchanted creature gets +2/+2 and has trample and lifelink. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.),0.21,c18
624,And They Shall Know No Fear,{1}{W},2.0,Choose a creature type. Creatures you control of the chosen type get +1/+0 and gain indestructible until end of turn.,2.79,40k
625,Walk the Aeons,{4}{U}{U},6.0,Buyback—Sacrifice three Islands. (You may sacrifice three Islands in addition to any other costs as you cast this spell. If you do  put this card into your hand as it resolves.) Target player takes an extra turn after this one.,1.54,tsr
626,Burn Down the House,{3}{R}{R},5.0,"Choose one — • This Card deals 5 damage to each creature and each planeswalker. • Create three 1/1 red Devil creature tokens with ""When this creature dies  it deals 1 damage to any target."" They gain haste until end of turn.",0.59,mid
627,Lorehold Excavation,{R}{W},2.0,At the beginning of your end step  mill a card. If a land card was milled this way  you gain 1 life. Otherwise  This Card deals 1 damage to each opponent. (To mill a card  put the top card of your library into your graveyard.) {5}  Exile a creature card from your graveyard: Create a tapped 3/2 red and white Spirit creature token.,0.05,stx
628,Stack of Paperwork,{W},1.0,When This Card enters the battlefield  draw a card. Combat damage uses the stack. (Combat damage assignment can be responded to before damage is dealt.),1.34,cmb2
629,Sorcerer's Wand,{1},1.0,"Equipped creature has ""{T}: This creature deals 1 damage to target player or planeswalker. If this creature is a Wizard  it deals 2 damage instead."" Equip {3}",0.15,dom
630,Forethought Amulet,{5},5.0,At the beginning of your upkeep  sacrifice This Card unless you pay {3}. If an instant or sorcery source would deal 3 or more damage to you  it deals 2 damage to you instead.,30.01,leg
631,Madblind Mountain,_,0.0,({T}: Add {R}.) This Card enters the battlefield tapped. {R}  {T}: Shuffle your library. Activate only if you control two or more red permanents.,0.37,shm
632,Shifting Loyalties,{5}{U},6.0,Exchange control of two target permanents that share a card type. (Artifact  creature  enchantment  land  and planeswalker are card types.),0.09,frf
633,Fated Return,{4}{B}{B}{B},7.0,Put target creature card from a graveyard onto the battlefield under your control. It gains indestructible. If it's your turn  scry 2. (Look at the top two cards of your library  then put any number of them on the bottom of your library and the rest on top in any order.),0.13,znc
634,Emergent Ultimatum,{B}{B}{G}{G}{G}{U}{U},7.0,Search your library for up to three monocolored cards with different names and exile them. An opponent chooses one of those cards. Shuffle that card into your library. You may cast the other cards without paying their mana costs. Exile This Card.,1.89,iko
635,"Grist, the Hunger Tide",{1}{B}{G},3.0,As long as This Card isn't on the battlefield  it's a 1/1 Insect creature in addition to its other types. +1: Create a 1/1 black and green Insect creature token  then mill a card. If an Insect card was milled this way  put a loyalty counter on Grist and repeat this process. −2: You may sacrifice a creature. When you do  destroy target creature or planeswalker. −5: Each opponent loses life equal to the number of creature cards in your graveyard.,4.36,mh2
636,Founding the Third Path,{1}{U},2.0,Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don't trigger. Sacrifice after III.) I — You may cast an instant or sorcery spell with mana value 1 or 2 from your hand without paying its mana cost. II — Target player mills four cards. III — Exile target instant or sorcery card from your graveyard. Copy it. You may cast the copy.,0.27,dmu
637,Bridge from Below,{B}{B}{B},3.0,Whenever a nontoken creature is put into your graveyard from the battlefield  if This Card is in your graveyard  create a 2/2 black Zombie creature token. When a creature is put into an opponent's graveyard from the battlefield  if This Card is in your graveyard  exile This Card.,1.65,uma
638,Neverending Torment,{4}{B}{B},6.0,Search target player's library for X cards  where X is the number of cards in your hand  and exile them. Then that player shuffles. Epic (For the rest of the game  you can't cast spells. At the beginning of each of your upkeeps  copy this spell except for its epic ability. You may choose a new target for the copy.),0.56,sok
639,Mind Unbound,{4}{U}{U},6.0,At the beginning of your upkeep  put a lore counter on This Card  then draw a card for each lore counter on This Card.,0.58,m12
640,Manabarbs,{3}{R},4.0,Whenever a player taps a land for mana  This Card deals 1 damage to that player.,1.26,m12
641,Drown in the Loch,{U}{B},2.0,Choose one — • Counter target spell with mana value less than or equal to the number of cards in its controller's graveyard. • Destroy target creature with mana value less than or equal to the number of cards in its controller's graveyard.,1.32,clb
642,Guess Your Fate,_,0.0,Visit — Look at the bottom of your library  then give a person outside the game a one-word clue not on that card. They guess a word. If their guess appears in that card's name  claim the prize! Prize — Reveal the card  put it into your hand  then sacrifice This Card and open an Attraction.,0.17,unf
643,Force of Despair,{1}{B}{B},3.0,If it's not your turn  you may exile a black card from your hand rather than pay this spell's mana cost. Destroy all creatures that entered the battlefield this turn.,1.82,mh1
644,Killer Service,{2}{G},3.0,"When This Card enters the battlefield  create a number of Food tokens equal to the number of opponents you have. (They're artifacts with ""{2}  {T}  Sacrifice this artifact: You gain 3 life."") At the beginning of your end step  you may pay {2} and sacrifice a token. If you do  create a 4/4 green Rhino Warrior creature token.",0.15,ncc
645,Nimbus Wings,{1}{W},2.0,Enchant creature Enchanted creature gets +1/+2 and has flying.,0.11,zen
646,Cathartic Reunion,{1}{R},2.0,As an additional cost to cast this spell  discard two cards. Draw three cards.,0.17,2xm
647,Geth's Verdict,{B}{B},2.0,Target player sacrifices a creature and loses 1 life.,0.26,nph
648,Monstrify,{3}{G},4.0,Target creature gets +4/+4 until end of turn. Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.),0.07,eve
649,Daybreak Coronet,{W}{W},2.0,Enchant creature with another Aura attached to it Enchanted creature gets +3/+3 and has first strike  vigilance  and lifelink. (Damage dealt by the creature also causes its controller to gain that much life.),7.42,uma
650,Soul Summons,{1}{W},2.0,Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.),0.02,frf
651,Agility,{1}{R},2.0,Enchant creature Enchanted creature gets +1/+1 and has flanking. (Whenever a creature without flanking blocks this creature  the blocking creature gets -1/-1 until end of turn.),0.11,mir
652,Amass the Components,{3}{U},4.0,Draw three cards  then put a card from your hand on the bottom of your library.,0.06,ima
653,Enrage,{X}{R},1.0,Target creature gets +X/+0 until end of turn.,0.15,9ed
654,Joint Assault,{G},1.0,Target creature gets +2/+2 until end of turn. If it's paired with a creature  that creature also gets +2/+2 until end of turn.,0.02,avr
655,Essence Capture,{U}{U},2.0,Counter target creature spell. Put a +1/+1 counter on up to one target creature you control.,0.13,neo
656,Eldritch Evolution,{1}{G}{G},3.0,As an additional cost to cast this spell  sacrifice a creature. Search your library for a creature card with mana value X or less  where X is 2 plus the sacrificed creature's mana value. Put that card onto the battlefield  then shuffle. Exile This Card.,7.12,emn
657,Verdant Confluence,{4}{G}{G},6.0,Choose three. You may choose the same mode more than once. • Put two +1/+1 counters on target creature. • Return target permanent card from your graveyard to your hand. • Search your library for a basic land card  put it onto the battlefield tapped  then shuffle.,1.19,c15
658,Solar Tide,{4}{W}{W},6.0,Choose one — • Destroy all creatures with power 2 or less. • Destroy all creatures with power 3 or greater. Entwine—Sacrifice two lands. (Choose both if you pay the entwine cost.),0.97,mrd
659,Spontaneous Combustion,{1}{B}{R},3.0,As an additional cost to cast this spell  sacrifice a creature. This Card deals 3 damage to each creature.,0.07,cns
660,Zzzyxas's Abyss,{1}{B}{B},3.0,At the beginning of your upkeep  destroy all nonland permanents with the first name alphabetically among nonland permanents.,1.01,unh
661,Scrying Sheets,_,0.0,{T}: Add {C}. {1}{S}  {T}: Look at the top card of your library. If that card is snow  you may reveal it and put it into your hand. ({S} can be paid with one mana from a snow source.),5.48,csp
662,Tremble,{1}{R},2.0,Each player sacrifices a land.,0.22,ody
663,Equinox,{W},1.0,"Enchant land Enchanted land has ""{T}: Counter target spell if it would destroy a land you control.""",1.87,leg
664,Team Pennant,{1},1.0,Equipped creature gets +1/+1 and has vigilance and trample. Equip creature token {1} Equip {3},0.08,stx
665,Quest for the Holy Relic,{W},1.0,Whenever you cast a creature spell  you may put a quest counter on This Card. Remove five quest counters from This Card and sacrifice it: Search your library for an Equipment card  put it onto the battlefield  attach it to a creature you control  then shuffle.,0.21,zen
666,Eyes of the Beholder,{4}{B}{B},6.0,Target creature gets -11/-11 until end of turn.,0.04,afr
667,Quagmire,{2}{B},3.0,Creatures with swampwalk can be blocked as though they didn't have swampwalk.,3.17,leg
668,Curse of Hospitality,{2}{R},3.0,Enchant player Creatures attacking enchanted player have trample. Whenever a creature deals combat damage to enchanted player  that player exiles the top card of their library. Until end of turn  that creature's controller may play that card and they may spend mana as though it were mana of any color to cast that spell.,0.24,vow
669,Elven Palisade,{G},1.0,Sacrifice a Forest: Target attacking creature gets -3/-0 until end of turn.,0.17,exo
670,Phone a Friend,{3}{U}{U},5.0,Call someone and ask them to choose one. If they don't answer  an opponent choses one. (Don't explain anything else. You choose targets.) • A — Gain control of target creature you don't control. • B — Choose target creature you control. Create two tokens that are each copies of it. • C — Take an extra turn after this one. • D — Draw seven cards.,0.16,unf
671,Glassblower's Puzzleknot,{2},2.0,When This Card enters the battlefield  scry 2  then you get {E}{E}. (You get two energy counters. To scry 2  look at the top two cards of your library  then put any number of them on the bottom of your library and the rest on top in any order.) {2}{U}  Sacrifice This Card: Scry 2  then you get {E}{E}.,0.04,kld
672,Refraction Trap,{3}{W},4.0,If an opponent cast a red instant or sorcery spell this turn  you may pay {W} rather than pay this spell's mana cost. Prevent the next 3 damage that a source of your choice would deal to you and/or permanents you control this turn. If damage is prevented this way  This Card deals that much damage to any target.,0.07,wwk
673,Punish Ignorance,{W}{U}{U}{B},4.0,Counter target spell. Its controller loses 3 life and you gain 3 life.,0.26,ala
674,Battle Frenzy,{2}{R},3.0,Green creatures you control get +1/+1 until end of turn. Nongreen creatures you control get +1/+0 until end of turn.,0.10,ice
675,Grinding Station,{2},2.0,{T}  Sacrifice an artifact: Target player mills three cards. Whenever an artifact enters the battlefield  you may untap This Card.,26.91,5dn
676,Resurgent Belief,_,0.0,Suspend 2—{1}{W} (Rather than cast this card from your hand  pay {1}{W} and exile it with two time counters on it. At the beginning of your upkeep  remove a time counter. When the last is removed  cast it without paying its mana cost.) Return all enchantment cards from your graveyard to the battlefield. (Auras with nothing to enchant remain in your graveyard.),0.27,mh2
677,Jeska's Will,{2}{R},3.0,Choose one. If you control a commander as you cast this spell  you may choose both. • Add {R} for each card in target opponent's hand. • Exile the top three cards of your library. You may play them this turn.,14.56,clb
678,Life Matrix,{4},4.0,"{4}  {T}: Put a matrix counter on target creature and that creature gains ""Remove a matrix counter from this creature: Regenerate this creature."" Activate only during your upkeep.",91.01,leg
679,Awaken the Ancient,{1}{R}{R}{R},4.0,Enchant Mountain Enchanted Mountain is a 7/7 red Giant creature with haste. It's still a land.,0.22,m14
680,Ephemerate,{W},1.0,Exile target creature you control  then return it to the battlefield under its owner's control. Rebound (If you cast this spell from your hand  exile it as it resolves. At the beginning of your next upkeep  you may cast this card from exile without paying its mana cost.),0.78,mh1
681,Shivan Reef,_,0.0,{T}: Add {C}. {T}: Add {U} or {R}. This Card deals 1 damage to you.,1.00,dmu
682,Ward of Piety,{1}{W},2.0,Enchant creature {1}{W}: The next 1 damage that would be dealt to enchanted creature this turn is dealt to any target instead.,0.16,bok
683,Aether Barrier,{2}{U},3.0,Whenever a player casts a creature spell  that player sacrifices a permanent unless they pay {1}.,1.78,nem
684,First Response,{3}{W},4.0,At the beginning of each upkeep  if you lost life last turn  create a 1/1 white Soldier creature token.,0.03,cmr
685,Eye Spy,{U},1.0,Look at the top card of target player's library. You may put that card into their graveyard.,0.06,s99
686,Quietus Spike,{3},3.0,Equipped creature has deathtouch. Whenever equipped creature deals combat damage to a player  that player loses half their life  rounded up. Equip {3},0.68,ncc
687,Oxidize,{G},1.0,Destroy target artifact. It can't be regenerated.,0.19,dst
688,Mob Justice,{1}{R},2.0,This Card deals damage to target player or planeswalker equal to the number of creatures you control.,0.26,sth
689,Demonic Rising,{3}{B}{B},5.0,At the beginning of your end step  if you control exactly one creature  create a 5/5 black Demon creature token with flying.,0.16,avr
690,Mire's Grasp,{1}{B},2.0,Enchant creature Enchanted creature gets -3/-3.,0.04,thb
691,_____ _____ Rocketship,{4},4.0,Flying When this Vehicle enters the battlefield  you may put up to two name stickers on it. Whenever this Vehicle attacks  choose a letter. This Vehicle gets +1/+1 until end of turn for each name sticker on it that begins with the chosen letter. Crew 2,0.06,unf
692,Skinwing,{4},4.0,Living weapon (When this Equipment enters the battlefield  create a 0/0 black Phyrexian Germ creature token  then attach this to it.) Equipped creature gets +2/+2 and has flying. Equip {6},0.04,2xm
693,Secret Base,_,0.0,{T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a spell that shares a watermark with This Card.,0.21,ust
694,Vastwood Zendikon,{4}{G},5.0,Enchant land Enchanted land is a 6/4 green Elemental creature. It's still a land. When enchanted land dies  return that card to its owner's hand.,0.05,jmp
695,Dark Offering,{4}{B}{B},6.0,Destroy target nonblack creature. You gain 3 life.,0.24,s99
696,Impeccable Timing,{1}{W},2.0,This Card deals 3 damage to target attacking or blocking creature.,0.02,akh
697,Gaze of Granite,{X}{B}{B}{G},3.0,Destroy each nonland permanent with mana value X or less.,0.19,c21
698,Damping Matrix,{3},3.0,Activated abilities of artifacts and creatures can't be activated unless they're mana abilities.,0.27,mm3
699,Cowed by Wisdom,{W},1.0,Enchant creature Enchanted creature can't attack or block unless its controller pays {1} for each card in your hand.,0.10,sok
700,Vampire's Kiss,{1}{B},2.0,"Target player loses 2 life and you gain 2 life. Create two Blood tokens. (They're artifacts with ""{1}  {T}  Discard a card  Sacrifice this artifact: Draw a card."")",0.19,vow
701,Deprive,{U}{U},2.0,As an additional cost to cast this spell  return a land you control to its owner's hand. Counter target spell.,0.28,roe
702,Truth or Tale,{1}{U},2.0,Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put a card from the chosen pile into your hand  then put all other cards revealed this way on the bottom of your library in any order.,0.14,tsp
703,Energy Tap,{U},1.0,Tap target untapped creature you control. If you do  add an amount of {C} equal to that creature's mana value.,0.19,4ed
704,Beckon Apparition,{W/B},1.0,Exile target card from a graveyard. Create a 1/1 white and black Spirit creature token with flying.,0.11,uma
705,Lorehold Command,{3}{R}{W},5.0,Choose two — • Create a 3/2 red and white Spirit creature token. • Creatures you control get +1/+0 and gain indestructible and haste until end of turn. • This Card deals 3 damage to any target. Target player gains 3 life. • Sacrifice a permanent  then draw two cards.,0.19,stx
706,Geistblast,{2}{R},3.0,This Card deals 2 damage to any target. {2}{U}  Exile This Card from your graveyard: Copy target instant or sorcery spell you control. You may choose new targets for the copy.,0.09,soi
